"team","total","attack","defense","n.games","region","age","fall.league","win.league","spr.league","other"
"Idaho Rush Blue G03",311,0.25,0.13,20,"ID","G03","Idaho D3 B U11","","Spr Idaho D3 U11 Bracket B EAST U11",""
"Seattle Celtic White G01",311,0.22,0.15,12,"WA","G01","PSPL Classic 2 U13","","",""
"ISC Gunners B G03",307,0.22,0.15,33,"WA","G03","PSPL Copa U11","","Spr PSPL Copa U11","WA Cup GU11 Silver/Bronze U11"
"Fuerza FC Academy A G04",307,0.32,0.1,8,"WA","G04","","","Spr PSPL Classic 1 U11",""
"Rogue Valley Timbers Red G03",305,0.37,0.09,9,"OR","G03","","","",""
"SSC Shadow Elite Sennott G02",305,0.24,0.13,25,"WA","G02","NWL U12","","Spr NWL U12",""
"Snohomish United Red G03",304,0.22,0.15,28,"WA","G03","NPSL G11D3","","Spr NPSL G11D2",""
"Crossfire OR LOSC Liberty G03",304,0.25,0.13,37,"OR","G03","OPL 2nd Div U11","","Spr OPL Deschutes Div U11","Directors Cup OPL Silver U11"
"Boise Nationals SC Breakers White G03",302,0.25,0.13,11,"ID","G03","Idaho D3 B U11","","Spr Idaho D3 U11 Bracket B EAST U11",""
"FC Spokane White G02",300,0.21,0.15,23,"WA","G02","PSPL-Inland Div 2 U12","","Spr PSPL-Inland Div 3 U12",""
"Thelo Storm G01",296,0.12,0.25,23,"OR","G01","OPL 1st Div U13","","","Directors Cup OPL Silver U13"
"CSC Velocity White G01",295,0.14,0.21,31,"WA","G01","PSPL Classic 2 U13","","Spr PSPL Copa U13","WA Cup GU13 Silver/Bronze U13"
"SCORE Patriots Blue G03",295,0.27,0.11,15,"WA","G03","DIII G11D1","","",""
"Foothills SC Lightning Green G01",295,0.17,0.18,23,"OR","G01","OPL 1st Div U13","","Spr OPL Tillamook Div U13",""
"Lake Hills Select G03",290,0.23,0.13,24,"WA","G03","NPSL G11D3","","","Founders Cup G03"
"Westside Timbers Mundial TS G02",290,0.18,0.16,32,"OR","G02","PTT-B G02 Thorns Div 1","","Spr OYS G02 Div 2","OYS Presidents Cup G02"
"Kajumulo FC Farasi G03",289,0.2,0.14,24,"WA","G03","PSPL Copa U11","","Spr PSPL Copa U11",""
"Capital FC Timbers Black G03",288,0.2,0.15,31,"OR","G03","PTT-B G03 Thorns Div 1 (9v9)","","Spr OYS G03 Div 2","OYS Presidents Cup G03"
"PYSA HLSC Rockstars G03",284,0.22,0.13,22,"","G03","PTT-B G03 Thorns Div 1 (9v9)","","Spr OYS G03 Div 2","OYS Presidents Cup G03"
"MVP Marauders White G03",284,0.21,0.13,31,"WA","G03","PSPL Copa U11","","Spr PSPL Copa U11","WA Cup GU11 Silver/Bronze U11"
"THUSC Obsidian G02",280,0.13,0.21,38,"OR","G02","OPL 1st Div U12","","Spr OPL Bandon Dunes Div U12","Directors Cup OPL Silver U12"
"Foothills SC Rangers White G03",277,0.25,0.11,27,"OR","G03","OPL 2nd Div U11","","Spr OPL Deschutes Div U11","Directors Cup OPL Silver U11"
"Three Rivers SC Black District G03",275,0.23,0.12,13,"WA","G03","NWL Group B U11","","Spr NWL Group B U11",""
"Blackhills FC Red G02",275,0.25,0.1,18,"WA","G02","RCL G02 Div 4","","",""
"CDA Sting Benfica G02",273,0.17,0.16,16,"ID","G02","NWL U12","","Spr NWL Group A U11",""
"Highline SC Tigers G01",272,0.12,0.21,12,"WA","G01","DIII G13D1","","",""
"CB United Ephrata G02",272,0.16,0.16,14,"WA","G02","PSPL-Inland Div 2 U12","","Spr PSPL-Inland Div 2 U12",""
"Pacific FC Fusion G03",271,0.23,0.11,18,"WA","G03","OPL 2nd Div U11","","Spr OPL Deschutes Div U11","Directors Cup OPL Silver U11"
"BSC Portland Venom G02",270,0.17,0.15,23,"OR","G02","PTT-B G02 Thorns Div 1","","Spr OYS G02 Div 2","OYS Presidents Cup G02"
"Kitsap Alliance Black G03",269,0.15,0.17,34,"WA","G03","RCL G03 Div 4","","Win RCL G03 Div 4","WYS Presidents Cup G03 Div 3"
"Idaho Crossfire Inferno G03",266,0.22,0.11,18,"ID","G03","Idaho D3 B U11","","Spr Idaho D3 U11 Bracket B EAST U11, Spr Idaho D3 U11 Bracket B WEST U11",""
"THUSC Radium Green G03",263,0.23,0.1,12,"OR","G03","OPL 2nd Div U11","","",""
"Sabers Dean G02",261,0.24,0.1,13,"WA","G02","PSPL-Inland Div 2 U12","","",""
"BIFC Blue G02",258,0.11,0.21,12,"WA","G02","NPSL G12D3","","",""
"Oregon City Strikers G02",255,0.17,0.13,28,"OR","G02","OPL 1st Div U12","","","Directors Cup OPL Silver U12"
"ETFC Lyon Red G03",254,0.15,0.15,28,"OR","G03","PTT-B G03 Thorns Div 1 (9v9)","","Spr OYS G03 Div 2","OYS Presidents Cup G03"
"Union Couny United G02",249,0.15,0.15,8,"OR","G02","Idaho D3 B U12","","Spr Idaho D3 U12 Bracket B WEST U12",""
"RV Slammers White G03",248,0.17,0.13,35,"WA","G03","RCL G03 Div 4","","Win RCL G03 Div 4","WYS Presidents Cup G03 Div 3"
"McMinnville MYSA Sparks G03",246,0.2,0.11,19,"OR","G03","PTT-B G03 Thorns Div 1 (9v9)","","",""
"Meridian United FC G03",246,0.2,0.11,21,"ID","G03","Idaho D3 B U11","","Spr Idaho D3 U11 Bracket B EAST U11, Spr Idaho D3 U11 Bracket B WEST U11",""
