"team","total","attack","defense","n.games","region","age","fall.league","win.league","spr.league","other"
"Utah Avalanche ECNLG00",1573,22.09,9.59,15,"UT","G00","","","","ECNL U14"
"Mustang SC ECNL G00",1571,15.72,13.33,11,"CAN","G00","","","","ECNL U14"
"Crossfire Premier S Crum G00",1559,12.93,14.92,43,"WA","G00","RCL G00 Div 2","","Win RCL G00 Div 1","WYS Championship G00"
"SLSG ECNL G00",1557,10.66,17.87,15,"IL","G00","","","","ECNL U14"
"Carolina Elite SA ECNL G00",1542,14.44,11.85,19,"","G00","","","","ECNL U14"
"Seattle United Copa G00",1539,15.79,10.64,34,"WA","G00","RCL G00 Div 1","","Win RCL G00 Div 1","NWCL U14, WYS Championship G00"
"Continental FC Delco ECNL G00",1537,16.7,9.92,14,"","G00","","","","ECNL U14"
"Coastal FC BCSPL 2001G",1533,12.93,12.48,10,"BC","2001G","","","","FWRL00"
"Minnesota Thunder ECNL G00",1531,10.61,14.95,10,"MN","G00","","","","ECNL U14"
"NC Fusion G00",1528,10.6,14.65,10,"NC","G00","","","","ECNL U14"
"Sereno SC ECNL G00",1523,15.35,9.8,16,"CA","G00","","","","ECNL U14"
"ASE Emerald G00",1511,17.32,7.98,38,"WA","G00","PSPL Premier U14","","Spr PSPL SuperLeague U14","WA Cup GU14 Gold/Platinum U14"
"PacNW Maroon G01",1500,14.28,8.99,61,"WA","G01","RCL G01 Div 1","","Win RCL G01 Div 1","FWRL01, WYS Championship G01"
"Ohio Elite SA ECNL G00",1491,11.15,10.82,12,"OH","G00","","","","ECNL U14"
"MVLA ECNL G00",1484,7.2,15.86,10,"","G00","","","","ECNL U14"
"Eastside Timbers Red G00",1480,10.21,10.91,60,"OR","G00","PTT G00 Premier","","Spr OYS G00 Premier","FWRL00, NWCL U14, OYS State Cup G00"
"Seattle United Copa G02",1475,9.06,11.86,38,"WA","G02","RCL G02 Div 1","","Win RCL G02 Div 1","NWCL U12, WYS Championship G02"
"Crossfire OR WUSC Levante White G01",1465,10.64,9.41,35,"OR","G01","OPL NPL U13","","Spr OPL Chinook Div U14","OPL State Cup U13"
"FSA FC ECNL G00",1441,11.42,7.47,11,"","G00","","","","ECNL U14"
"Albertson Fury ECNL G00",1439,12.71,6.61,15,"","G00","","","","ECNL U14"
"ETFC Sol Black G00",1437,7.28,11.35,52,"OR","G00","PTT G00 Premier","","Spr OYS G00 Premier","FWRL00, OYS State Cup G00"
"Las Vegas Premier SA ECNL G00",1436,9.51,8.66,16,"NV","G00","","","","ECNL U14"
"WPFC Fury Black G00",1432,11.73,6.8,55,"WA","G00","PSPL Premier U14","","Spr PSPL SuperLeague U14","WA Cup GU14 Gold/Platinum U14"
"Surrey United 2001G",1430,10.27,7.66,10,"BC","2001G","","","","FWRL00"
"Indiana Fire ECNL G00",1425,9.51,7.98,12,"IN","G00","","","","ECNL U14"
"Surrey United 2002G",1424,4.82,15.66,10,"BC","2002G","","","",""
"Capital FC Timbers Red G01",1424,8.64,8.72,45,"OR","G01","PTT G01 Premier","","Spr OYS G01 Premier","NWCL U13, OYS State Cup G01"
"Birmingham United ECNL G00",1416,9.91,7.21,18,"AL","G00","","","","ECNL U14"
"Cobra Select Gold G00",1403,7.09,9.19,30,"WA","G00","PSPL Premier U14","","Spr PSPL SuperLeague U14","WA Cup GU14 Gold/Platinum U14"
"Crossfire Alaska ADP G00",1401,10.27,6.27,13,"AK","G00","","","","FWRL00"
"FC Portland pre-ECNL G01",1399,9.32,6.8,47,"OR","G01","OPL NPL U13","","Spr OYS G01 Premier","NWCL U13, OYS State Cup G01"
"Rogue Valley Timbers Red G00",1394,9.08,6.76,37,"OR","G00","PTT G00 Premier","","Spr OYS G00 Premier","OYS State Cup G00"
"Three Rivers SC Black RCL G00",1393,8.45,7.2,33,"WA","G00","RCL G00 Div 2","","Win RCL G00 Div 2","WYS Championship G00"
"Whatcom FC Rangers Gold G00",1385,8.22,7,28,"WA","G00","RCL G00 Div 2","","Win RCL G00 Div 2","WYS Championship G00"
"Westside Timbers Copa TS G00",1384,7.89,7.25,49,"OR","G00","PTT G00 Premier","","Spr OYS G00 Premier","FWRL00, OYS State Cup G00"
"Eastside FC Red G01",1380,7.29,7.64,37,"WA","G01","RCL G01 Div 1","","Win RCL G01 Div 1","FWRL01, NWCL U13, WYS Championship G01"
"WA Rush G01",1379,7.67,7.2,51,"WA","G01","RCL G01 Div 1, RCL G01 7V2","","Win RCL G01 Div 1","NWCL U13, WYS Championship G01"
"ETFC Cypress Black G01",1378,7.97,6.92,50,"OR","G01","PTT G01 Premier","","Spr OYS G01 Premier","FWRL01, NWCL U13, OYS State Cup G01"
"Tynecastle FC G00",1377,8.13,6.69,45,"WA","G00","PSPL Premier U14","","Spr PSPL SuperLeague U14","WA Cup GU14 Gold/Platinum U14"
"Eastside FC White G00",1357,7.08,6.7,47,"WA","G00","RCL G00 Div 2","","Win RCL G00 Div 2","WYS Presidents Cup G00 Div 1, NWCL U14"
"FC Alliance A G00",1353,7.08,6.55,33,"WA","G00","RCL G00 Div 2","","Win RCL G00 Div 2","WYS Presidents Cup G00 Div 1"
"4H Chelsea G00",1350,6.64,6.82,17,"OR","G00","PTT-B G00 Championship","","",""
"Fusion FC Academy 2001G",1348,7.04,6.36,16,"BC","2001G","","","",""
"Harbor Premier Green G00",1340,6.44,6.57,46,"WA","G00","RCL G00 Div 3","","Win RCL G00 Div 2","WYS Presidents Cup G00 Div 1"
"Fraser Valley FC 2001G",1336,7.71,5.34,10,"BC","2001G","","","","FWRL00"
"SSC Shadow A G01",1336,7.96,5.15,40,"WA","G01","RCL G01 Div 2","","Win RCL G01 Div 1","WYS Championship G01"
"Crossfire Premier Baumgardt G02",1334,6.38,6.34,45,"WA","G02","RCL G02 Div 1","","Win RCL G02 Div 1","NWCL U12, WYS Championship G02"
"Kitsap Alliance Red G00",1332,6.24,6.39,40,"WA","G00","RCL G00 Div 2","","Win RCL G00 Div 1","WYS Championship G00"
"Crossfire Premier Reece G00",1328,6.12,6.35,40,"WA","G00","RCL G00 Div 3","","Win RCL G00 Div 2","WYS Presidents Cup G00 Div 1"
"THUSC Element G01",1326,5.45,7.04,48,"OR","G01","OPL NPL U13","","Spr OPL Hoodoo Div U13","NWCL U13, OPL State Cup U13"
"Alaska Eclipse 01 G00",1326,7.99,4.79,11,"AK","G00","","","",""
"WPFC B G00",1323,5.53,6.76,43,"WA","G00","RCL G00 Div 4","","Win RCL G00 Div 3","WYS Presidents Cup G00 Div 2"
"Wenatchee Fire Black G00",1322,6.44,5.78,31,"WA","G00","PSPL Premier U14","","","NWCL U14, WA Cup GU14 Gold/Platinum U14"
"Crossfire OR LOSC Blue 1 G00",1320,7.11,5.18,35,"OR","G00","OPL NPL U14","","Spr OPL Chinook Div U14","OPL State Cup U14"
"Coquitlam Metro Ford Destroyers 2001G",1313,5.81,6.04,10,"BC","2001G","","","","FWRL00"
"CWSA Navy G00",1310,5.11,6.71,35,"WA","G00","PSPL Premier U14","","Spr PSPL SuperLeague U14","WA Cup GU14 Gold/Platinum U14"
"LWPFC White Piranhas G00",1309,7.05,4.83,44,"WA","G00","PSPL Premier U14","","Spr PSPL SuperLeague U14","NWCL U14, WA Cup GU14 Gold/Platinum U14"
"ISC Gunners A G00",1304,6.92,4.74,44,"WA","G00","PSPL Premier U14,","","Spr PSPL SuperLeague U14","WA Cup GU14 Gold/Platinum U14"
"Capital FC Timbers Red G00",1303,5.58,5.87,29,"OR","G00","PTT-B G00 Championship","","Spr OYS G00 Div 1","OYS Presidents Cup G00"
"FC Nova Pink G01",1302,6.6,4.93,19,"ID","G01","Idaho D3 A U13","","Spr Idaho D3 A U14",""
"Seattle United Nova G00",1302,3.8,8.52,12,"WA","G00","","","Win RCL G00 Div 4","WYS Presidents Cup G00 Div 2"
"Seattle United Tango G00",1300,4.72,6.77,34,"WA","G00","RCL G00 Div 2","","Win RCL G00 Div 2","WYS Presidents Cup G00 Div 1"
"Cascade FC Green G00",1293,6.85,4.45,38,"WA","G00","PSPL Premier U14","","Spr PSPL SuperLeague U14","WA Cup GU14 Gold/Platinum U14"
"FC Nova Red G00",1282,7.16,3.95,19,"ID","G00","Idaho D3 A U14","","","NWCL U14"
"Spokane Foxes Platinum G00",1278,7.44,3.7,38,"WA","G00","PSPL Premier U14","","Spr PSPL SuperLeague U14","WA Cup GU14 Gold/Platinum U14"
"Eastside FC Red G02",1276,4.81,5.62,55,"WA","G02","RCL G02 Div 1","","Win RCL G02 Div 1","FWRL02, NWCL U12, WYS Championship G02"
"Eastside Timbers Red G01",1275,6.32,4.26,48,"OR","G01","PTT G01 Premier","","Spr OYS G01 Premier","FWRL01, OYS State Cup G01"
"SSC Shadow B G00",1274,9.07,2.94,39,"WA","G00","RCL G00 Div 3","","Win RCL G00 Div 3","WYS Presidents Cup G00 Div 1"
"Kidsport Cardinal FC G00",1272,5.41,4.88,8,"OR","G00","","","",""
"FC Salmon Creek Nemesis Blue G00",1267,5.54,4.61,37,"WA","G00","OPL NPL U14","","Spr OPL Chinook Div U14","WA Cup GU14 Gold/Platinum U14"
"RV Slammers Orange G01",1263,3.93,6.3,37,"WA","G01","RCL G01 Div 1","","Win RCL G01 Div 2","WYS Championship G01"
"PacNW Maroon G02",1260,6.43,3.78,44,"WA","G02","RCL G02 Div 1","","Win RCL G02 Div 1","FWRL02, WYS Championship G02"
"NEU Lyonnais White G00",1258,4.86,4.94,32,"OR","G00","PTT G00 Premier","","Spr OYS G00 Premier","OYS State Cup G00"
"Whatcom FC Rangers Blue G00",1253,5.71,4.04,42,"WA","G00","RCL G00 Div 3","","Win RCL G00 Div 3","WYS Presidents Cup G00 Div 2"
"FC Alliance A G01",1248,3.44,6.51,42,"WA","G01","RCL G01 Div 2","","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"HSC Pumas G00",1242,6.11,3.51,26,"OR","G00","PTT-B G00 Championship","","Spr OYS G00 Div 1","OYS Presidents Cup G00"
"PacNW Blue G00",1236,4.74,4.35,48,"WA","G00","RCL G00 Div 2","","Win RCL G00 Div 2","WYS Presidents Cup G00 Div 1"
"PCU Red G00",1236,5.24,3.93,24,"OR","G00","PTT-B G00 Championship","","Spr OYS G00 Div 1","OYS Presidents Cup G00"
"Kent United Green G00",1236,4.76,4.32,37,"WA","G00","NPSL G14D1","","Spr NPSL G14D1","WYS Presidents Cup G00 Div 2"
"CDA Sting Galaxy G00",1233,4.59,4.39,47,"ID","G00","PSPL Premier U14","","Spr PSPL SuperLeague U14","FWRL00, WA Cup GU14 Gold/Platinum U14"
"RV Slammers Orange G00",1227,5.15,3.76,37,"WA","G00","RCL G00 Div 3","","Win RCL G00 Div 3","WYS Presidents Cup G00 Div 1"
"Meridian United FC G00",1221,4.96,3.74,30,"ID","G00","Idaho D3 A U14","","Spr Idaho D3 A U14",""
"Snohomish United Black G01",1218,4.56,3.98,43,"WA","G01","RCL G01 Div 2","","Win RCL G01 Div 2","NWCL U13, WYS Championship G01"
"WPFC A G02",1218,3.81,4.75,40,"WA","G02","RCL G02 Div 1","","Win RCL G02 Div 1","NWCL U12, WYS Championship G02"
"FC Portland Navy G00",1217,4.84,3.73,36,"OR","G00","OPL NPL U14","","Spr OPL Chinook Div U14","OPL State Cup U14"
"Crossfire OR LOSC Storm G01",1214,5.14,3.42,35,"OR","G01","OPL NPL U13","","Spr OPL Hoodoo Div U13","OPL State Cup U13"
"Washington Timbers Green G00",1213,3.99,4.38,29,"WA","G00","PTT-B G00 Championship","","Spr OYS G00 Div 1","OYS Presidents Cup G00"
"Washington Timbers Red G01",1209,4.49,3.79,43,"WA","G01","PTT G01 Premier","","Spr OYS G01 Premier","NWCL U13, OYS State Cup G01"
"NWN Red G02",1208,3.61,4.68,46,"WA","G02","RCL G02 Div 1, RCL G02 7V2","","Win RCL G02 Div 1","FWRL02, WYS Championship G02"
"Idaho Rush Premier G00",1208,6.74,2.51,27,"ID","G00","Idaho D3 A U14","","Spr Idaho D3 A U14","NWCL U14"
"WPFC A G01",1206,4.83,3.45,10,"WA","G01","","","","WYS Presidents Cup G01 Div 1"
"Real Middleton CF Heat G00",1204,6,2.75,28,"ID","G00","Idaho D3 A U14","","Spr Idaho D3 A U14",""
"BSC Portland Black-Legends G00",1195,5.29,2.91,29,"OR","G00","PTT G00 Premier","","Spr OYS G00 Premier","OYS State Cup G00"
"FME Rage G00",1189,5.31,2.8,38,"WA","G00","PSPL Classic 1 U14","","Spr PSPL Classic 1 U14","WA Cup GU14 Gold/Platinum U14"
"Crossfire OR WUSC Celtic White G00",1188,3.84,3.85,35,"OR","G00","OPL NPL U14","","Spr OPL Chinook Div U14","OPL State Cup U14"
"FC Edmonds Crew G00",1187,3.62,4.04,35,"WA","G00","PSPL Classic 2 U14","","Spr PSPL Classic 2 U14",""
"Utah Avalanche 03 Black G02",1185,4.21,3.44,8,"UT","G02","","","",""
"MVP Marauders Navy G00",1184,4.82,2.97,37,"WA","G00","PSPL Classic 1 U14,","","Spr PSPL SuperLeague U14","WA Cup GU14 Gold/Platinum U14"
"Kitsap Pumas G00",1179,3.14,4.42,38,"WA","G00","PSPL Classic 1 U14, PSPL East-West Classic U14","","Spr PSPL SuperLeague U14","WA Cup GU14 Gold/Platinum U14"
"Grants Pass YSC Crush G00",1179,4.36,3.18,29,"OR","G00","PTT G00 Premier","","Spr OYS G00 Premier","OYS State Cup G00"
"Bend FC Timbers Red G01",1179,3.81,3.63,34,"OR","G01","PTT G01 Premier","","Spr OYS G01 Premier","OYS State Cup G01"
"Lake Hills Pumas G00",1178,3.99,3.44,31,"WA","G00","NPSL G14D1","","Spr NPSL G14D1","Founders Cup G00"
"Eastside Timbers Black G00",1175,3.37,3.99,29,"OR","G00","PTT-B G00 Championship","","Spr OYS G00 Div 1","OYS State Cup G00"
"NW United Premier G00",1174,3.21,4.17,38,"WA","G00","PSPL Premier U14","","Spr PSPL Classic 1 U14","WA Cup GU14 Gold/Platinum U14"
"BIFC Blue G00",1173,3.84,3.46,33,"WA","G00","NPSL G14D1","","Spr NPSL G14D1","Founders Cup G00"
"CYSA Timber Barons White G00",1164,3.29,3.8,23,"WA","G00","PTT-B G00 Thorns Div 2","","",""
"Crossfire Select Habash G00",1164,3.38,3.69,37,"WA","G00","NPSL G14D1","","Spr NPSL G14D1","Founders Cup G00"
"Seattle United Shoreline Blue G00",1164,3.25,3.83,30,"WA","G00","NPSL G14D1","","","Founders Cup G00"
"SoccerEdge Academy Black G00",1163,4.92,2.52,41,"WA","G00","PSPL Classic 1 U14","","Spr PSPL Classic 1 U14","WA Cup GU14 Gold/Platinum U14"
"Eastside FC Blue G00",1163,2.72,4.55,44,"WA","G00","RCL G00 Div 3","","Win RCL G00 Div 3","WYS Presidents Cup G00 Div 2"
"FC Spokane Black G00",1162,3.64,3.37,36,"WA","G00","PSPL Classic 1 U14, PSPL East-West Classic U14","","Spr PSPL SuperLeague U14",""
"Rogue Valley Timbers Red G01",1160,4.34,2.8,34,"OR","G01","PTT G01 Premier","","Spr OYS G01 Premier","OYS State Cup G01"
"BSC Portland Black-Legends G02",1160,3.54,3.42,31,"OR","G02","PTT G02 Premier","","Spr OYS G02 Premier","OYS State Cup G02"
"Harbor Premier Green G01",1158,3.31,3.61,45,"WA","G01","RCL G01 Div 1","","Win RCL G01 Div 1","NWCL U13, WYS Championship G01"
"Seattle United Tango G01",1158,3.31,3.61,34,"WA","G01","RCL G01 Div 3","","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"WPFC A G03",1154,2.89,4.03,50,"WA","G03","RCL G03 Div 1","","Win RCL G03 Div 1","WYS Presidents Cup G03 Div 1, NWCL U11"
"Kitsap Alliance Red G01",1152,2.66,4.29,46,"WA","G01","RCL G01 Div 3, RCL G01 7V2","","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"ETFC Sol Red G00",1150,3.68,3.08,29,"OR","G00","PTT-B G00 Championship","","Spr OYS G00 Premier","OYS State Cup G00"
"Three Rivers SC Green G00",1149,4.58,2.45,31,"WA","G00","RCL G00 Div 4, RCL G00 7V2","","Win RCL G00 Div 4","WYS Presidents Cup G00 Div 2"
"PS Slammers Black G00",1147,4.51,2.46,42,"WA","G00","PSPL Classic 2 U14","","Spr PSPL Classic 1 U14","WA Cup GU14 Silver U14"
"Crossfire Premier Rowe G01",1147,3.07,3.61,43,"WA","G01","RCL G01 Div 2, RCL G01 7V2","","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"Cheney Storm FC G00",1146,3.54,3.11,43,"WA","G00","PSPL Classic 1 U14","","Spr PSPL SuperLeague U14","WA Cup GU14 Gold/Platinum U14"
"Crossfire OR SSC Freedom G00",1145,4.15,2.64,40,"OR","G00","OPL 1st Div U14","","Spr OPL Chinook Div U14","OPL State Cup U14, Directors Cup OPL Gold U14"
"Idaho Torrent White G00",1145,4.17,2.63,22,"ID","G00","Idaho D3 B U14, Idaho D3 A U14","","Spr Idaho D3 U14 Bracket B WEST U14",""
"FC Tacoma Blue G00",1144,3.38,3.22,35,"WA","G00","PSPL Classic 1 U14","","Spr PSPL Classic 1 U14","WA Cup GU14 Gold/Platinum U14"
"Westside Timbers Samba TS G00",1144,3.33,3.26,32,"OR","G00","PTT-B G00 Championship","","Spr OYS G00 Div 1","OYS Presidents Cup G00"
"WA East G01",1143,4.14,2.6,37,"WA","G01","PSPL Premier U13","","Spr PSPL Classic 1 U14","WA Cup GU13 Gold/Platinum U13"
"ASE Emerald G01",1143,4.73,2.28,41,"WA","G01","PSPL Premier U13","","Spr PSPL SuperLeague U13","NWCL U13, WA Cup GU13 Gold/Platinum U13"
"Irish United G01",1141,4.52,2.35,37,"OR","G01","PTT-B G01 Championship","","Spr OYS G01 Div 1 Green","OYS Presidents Cup G01"
"RSA Elite G00",1139,2.95,3.56,43,"WA","G00","PSPL Classic 2 U14","","Spr PSPL Classic 2 U14","WA Cup GU14 Silver U14"
"WA Rush G02",1137,3.24,3.18,43,"WA","G02","RCL G02 Div 1","","Win RCL G02 Div 2","FWRL02, WYS Championship G02"
"XUnk 4H Bayern Munich G00",1136,3.51,2.92,11,"OR","G00","","","Spr OYS G00 Premier","OYS State Cup G00"
"Westside Timbers Copa TS G02",1132,3.52,2.83,54,"OR","G02","PTT G02 Premier","","Spr OYS G02 Premier","FWRL02, NWCL U12, OYS State Cup G02"
"CYSA Timber Barons Green G00",1127,2.82,3.43,21,"WA","G00","PTT-B G00 Thorns Div 1","","",""
"Boise Nationals SC Sao Paulo G00",1126,3.76,2.55,23,"ID","G00","Idaho D3 B U14","","Spr Idaho D3 A U14",""
"THUSC Silver G00",1125,3.12,3.05,39,"OR","G00","OPL NPL U14","","Spr OPL Chinook Div U14","NWCL U14, OPL State Cup U14"
"ISC Gunners A G01",1125,3.56,2.67,39,"WA","G01","PSPL Premier U13","","Spr PSPL SuperLeague U13","WA Cup GU13 Gold/Platinum U13"
"Three Rivers SC Black RCL G02",1123,3.11,3.03,37,"WA","G02","RCL G02 Div 1","","Win RCL G02 Div 1","WYS Championship G02"
"Idaho Rush Premier G01",1121,3.15,2.94,25,"ID","G01","Idaho D3 A U13","","Spr Idaho D3 A U13","NWCL U13"
"Whatcom FC Rangers Gold G01",1121,3.35,2.76,33,"WA","G01","RCL G01 Div 2","","Win RCL G01 Div 2","WYS Championship G01"
"NSC Fusion G00",1120,3.66,2.52,31,"WA","G00","NPSL G14D1","","","Founders Cup G00"
"WPFC B G01",1118,3.75,2.42,38,"WA","G01","RCL G01 Div 2","","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 2"
"MIFC Maroon G00",1117,4.48,2.01,36,"WA","G00","NPSL G14D1","","Spr NPSL G14D1","Founders Cup G00"
"FC Salmon Creek Nemesis Black G00",1112,2.72,3.2,42,"WA","G00","OPL 1st Div U14","","Spr OPL Chinook Div U14","WA Cup GU14 Gold/Platinum U14, Directors Cup OPL Gold U14"
"Eastside FC Red G03",1110,3.33,2.57,41,"WA","G03","RCL G03 Div 1","","Win RCL G03 Div 1","WYS Presidents Cup G03 Div 1, NWCL U11"
"FC Nova Black G00",1108,4.39,1.92,8,"ID","G00","","","Spr Idaho D3 A U14",""
"FC Portland Navy G02",1107,4.08,2.06,52,"OR","G02","OPL Premier U12","","Spr OPL Hoodoo Div U13","NWCL U12, OPL State Cup U12"
"Fuerza FC Academy G00",1107,2.33,3.6,29,"WA","G00","PSPL Copa U14","","Spr PSPL Classic 2 U14","WA Cup GU14 Silver U14"
"Crossfire Select Metzger G00",1103,2.71,3,30,"WA","G00","NPSL G14D1","","","Founders Cup G00"
"Bend FC Timbers Red G00",1102,2.94,2.77,33,"OR","G00","PTT G00 Premier","","Spr OYS G00 Premier","OYS State Cup G00"
"Azul FC Thunder G00",1102,4.11,1.97,30,"OR","G00","PTT-B G00 Thorns Div 1","","Spr OYS G00 Div 1",""
"Crossfire Premier Hattrup G03",1097,3.16,2.48,48,"WA","G03","RCL G03 Div 1","","Win RCL G03 Div 1","WYS Presidents Cup G03 Div 1, NWCL U11"
"Harbor Premier Green G03",1093,3.37,2.26,48,"WA","G03","RCL G03 Div 1","","Win RCL G03 Div 1","WYS Presidents Cup G03 Div 1, NWCL U11"
"Seattle United Copa G03",1093,3.77,2.02,40,"WA","G03","RCL G03 Div 1","","Win RCL G03 Div 1","WYS Presidents Cup G03 Div 1, NWCL U11"
"WPFC Fury White G00",1089,2.25,3.3,38,"WA","G00","PSPL Classic 1 U14","","Spr PSPL Classic 1 U14","WA Cup GU14 Silver U14"
"FC Portland Navy G01",1089,2.47,3.01,35,"OR","G01","OPL NPL U13","","Spr OPL Hoodoo Div U13","OPL State Cup U13"
"Seattle United W Blue G00",1084,2.22,3.22,31,"WA","G00","NPSL G14D2","","Spr NPSL G14D1","Founders Cup G00"
"MVP Marauders Navy G01",1083,2.74,2.59,34,"WA","G01","PSPL Premier U13","","Spr PSPL SuperLeague U13","WA Cup GU13 Gold/Platinum U13"
"CSC Storm G00",1083,4.56,1.56,38,"OR","G00","PTT-B G00 Thorns Div 1","","Spr OYS G00 Div 1","OYS Presidents Cup G00"
"THUSC Krypton G00",1082,4.15,1.7,32,"OR","G00","OPL 1st Div U14","","Spr OPL Clatskanie Div U14","Directors Cup OPL Gold U14"
"Blackhills FC Black G00",1081,3.54,1.98,43,"WA","G00","RCL G00 Div 3","","Win RCL G00 Div 3","WYS Presidents Cup G00 Div 2"
"PacNW Blue G01",1078,3.2,2.14,49,"WA","G01","RCL G01 Div 2","","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 2"
"Washington Timbers Red G02",1077,2.73,2.51,43,"WA","G02","PTT G02 Premier","","Spr OYS G02 Premier","NWCL U12, OYS State Cup G02"
"Breakers Brock G00",1077,2.38,2.87,29,"WA","G00","PSPL Classic 1 U14","","Spr PSPL Classic 1 U14",""
"CWSA Grey G00",1070,3.22,2.01,24,"WA","G00","PSPL Classic 1 U14","","Spr PSPL Classic 1 U14",""
"Snohomish United Black G00",1069,2.63,2.46,39,"WA","G00","RCL G00 Div 3","","Win RCL G00 Div 3","WYS Presidents Cup G00 Div 2"
"FC Nova Red G01",1069,3.64,1.77,22,"ID","G01","Idaho D3 A U13","","Spr Idaho D3 A U13",""
"Moscow United G00",1069,2.4,2.69,21,"ID","G00","NWL U14","","Spr NWL U13/U14 BRACKET B U14",""
"Pacific FC Orange G00",1068,2.94,2.18,45,"WA","G00","OPL 1st Div U14","","Spr OPL Chinook Div U14","WA Cup GU14 Silver U14, Directors Cup OPL Gold U14"
"Crossfire OR LOSC Blue 2 G00",1064,2.78,2.24,33,"OR","G00","OPL 1st Div U14","","Spr OPL Clatskanie Div U14","Directors Cup OPL Gold U14"
"NWN Red G01",1060,2.57,2.36,37,"WA","G01","RCL G01 Div 2, RCL G01 7V2","","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"Three Rivers SC Black RCL G01",1057,3.29,1.81,38,"WA","G01","RCL G01 Div 3","","Win RCL G01 Div 2","WYS Presidents Cup G01 Div 1"
"Capital FC Timbers Red G02",1055,3.8,1.54,48,"OR","G02","PTT G02 Premier","","Spr OYS G02 Premier","OYS State Cup G02"
"Seattle United Nova G01",1053,2.88,2.01,13,"WA","G01","","","Win RCL G01 Div 4","WYS Presidents Cup G01 Div 2"
"Real Middleton CF Fiorentina G00",1053,3.42,1.69,14,"ID","G00","Idaho D3 B U14","","Spr Idaho D3 U14 Bracket B EAST U14",""
"CWSA Navy G01",1053,2.91,1.98,38,"WA","G01","PSPL Premier U13","","Spr PSPL SuperLeague U13","WA Cup GU13 Gold/Platinum U13"
"FC Spokane Black 1 G01",1052,3.53,1.62,40,"WA","G01","PSPL Premier U13","","Spr PSPL SuperLeague U13",""
"Pacific FC Blue G00",1052,2.84,2.02,37,"WA","G00","OPL NPL U14","","Spr OPL Chinook Div U14","WA Cup GU14 Silver U14"
"WA Rush Nero G01",1049,1.97,2.84,43,"WA","G01","RCL G01 Div 3","","Win RCL G01 Div 3","WYS Presidents Cup G01 Div 1"
"Seattle United Tango G02",1048,2.44,2.28,33,"WA","G02","RCL G02 Div 2","","Win RCL G02 Div 1","WYS Championship G02"
"THUSC Emerald G02",1046,2.99,1.85,49,"OR","G02","OPL Premier U12","","Spr OPL Hoodoo Div U13","NWCL U12, OPL State Cup U12"
"LWPFC White Barracudas G00",1045,2.72,2.01,39,"WA","G00","PSPL Classic 2 U14","","Spr PSPL Classic 3 U14","WA Cup GU14 Bronze U14"
"PacNW White G00",1044,2.01,2.7,50,"WA","G00","RCL G00 Div 4","","Win RCL G00 Div 4","WYS Presidents Cup G00 Div 2"
"SSC Shadow C G00",1043,2.39,2.25,29,"WA","G00","RCL G00 Div 4","","Win RCL G00 Div 4","WYS Presidents Cup G00 Div 2"
"Crossfire Premier S Crum G02",1043,2.13,2.52,48,"WA","G02","RCL G02 Div 2, RCL G02 7V2","","Win RCL G02 Div 2","WYS Presidents Cup G02 Div 1"
"NK Storm G00",1041,3,1.77,35,"WA","G00","PSPL Classic 1 U14","","Spr PSPL Classic 1 U14","WA Cup GU14 Silver U14"
"Seattle United S Blue G00",1039,1.67,3.13,24,"WA","G00","NPSL G14D1","","","Founders Cup G00"
"SCORE Rockets G00",1039,2.57,2.03,25,"WA","G00","NPSL G14D1","","",""
"Boise Nationals SC Premier G01",1037,3.63,1.42,23,"ID","G01","Idaho D3 A U13, Idaho D3 B U14","","Spr Idaho D3 A U13",""
"Seattle United Nova G02",1030,0.85,5.82,11,"WA","G02","","","Win RCL G02 Div 4","WYS Presidents Cup G02 Div 2"
"NPSA Titans White G00",1027,2.85,1.7,27,"WA","G00","PSPL Copa U14","","Spr PSPL Classic 3 U14",""
"CSC Velocity Green G00",1022,2.94,1.59,24,"WA","G00","PSPL Classic 2 U14","","",""
"PVSC United Blitz G00",1021,3.93,1.18,20,"ID","G00","Idaho D3 B U14","","Spr Idaho D3 A U14",""
"FC Portland White G00",1020,2.61,1.76,23,"OR","G00","OPL 2nd Div U14","","Spr OPL Clatskanie Div U14","Directors Cup OPL Gold U14"
"Longview Warriors G00",1018,2.33,1.95,12,"WA","G00","","","",""
"Seattle United NE Blue G00",1016,1.9,2.34,31,"WA","G00","NPSL G14D1","","Spr NPSL G14D2","Founders Cup G00"
"RSA Elite Heather G01",1016,1.82,2.45,48,"WA","G01","PSPL Classic 1 U13","","Spr PSPL SuperLeague U13","WA Cup GU13 Gold/Platinum U13"
"Fusion FC Academy 2002G",1016,2.96,1.51,10,"BC","2002G","","","",""
"Crossfire OR CUSC Power Rays G01",1015,1.83,2.44,47,"OR","G01","OPL Premier U13","","Spr OPL Hoodoo Div U13","OPL State Cup U13, Directors Cup OPL Gold U13"
