"team","total","attack","defense","n.games","region","age","fall.league","win.league","spr.league","other"
"THUSC Redstar Plutonium Black B02",353,0.32,0.14,8,"OR","B02","","","Spr OPL Bandon Dunes Div U12",""
"NEU PDX Azul B03",353,0.39,0.12,8,"OR","B03","","","Spr OYS B03 Div 1",""
"PCU Red 2 B03",348,0.22,0.2,11,"OR","B03","","","Spr OYS B03 Premier White","OYS State Cup B03"
"PacNW Blue B03",348,0.34,0.13,44,"WA","B03","RCL B03 Div 3","","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 2"
"Crossfire Select Lower B03",347,0.32,0.13,37,"WA","B03","NPSL B11D1","","Spr NPSL B11D1","Founders Cup B03"
"SESC Dragons Blue B03",347,0.23,0.19,22,"OR","B03","OPL 1st Div - BLUE U11","","Spr OPL Willamette Div U11","Directors Cup OPL Gold U11"
"WSA Rapids Red B02",347,0.29,0.15,9,"WA","B02","","","",""
"Crossfire Premier C B03",346,0.26,0.16,51,"WA","B03","RCL B03 Div 3","","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 3"
"Crossfire Yakima B03",344,0.29,0.15,28,"WA","B03","RCL B03 Div 4","","Win RCL B03 Div 4","WYS Presidents Cup B03 Div 2"
"Pumas 03 UNAM B02",344,0.29,0.15,29,"WA","B02","PSPL Classic 2 U12","","Spr PSPL Classic 2 U12","WA Cup BU12 Silver/Bronze U12"
"Newport FC Predator B02",340,0.16,0.25,23,"WA","B02","NPSL B12D3","","","Founders Cup B02"
"Seattle United NE White B01",340,0.18,0.23,21,"WA","B01","NPSL B13D3","","",""
"WUSC Barcelona Navy B03",340,0.4,0.1,35,"OR","B03","OPL 1st Div - BLUE U11","","Spr OPL Willamette Div U11","Directors Cup OPL Gold U11"
"CB United Ephrata B02",339,0.35,0.12,13,"WA","B02","PSPL-Inland Div 2 U12","","Spr PSPL-Inland Div 1 U12",""
"FC Salmon Creek Juventus White B03",338,0.23,0.18,34,"WA","B03","OPL Premier U11","","","WA Cup BU11 Silver/Bronze U11, Directors Cup OPL Gold U11"
"Cascade FC White B02",338,0.24,0.17,36,"WA","B02","PSPL Classic 2 U12","","Spr PSPL Classic 2 U12","WA Cup BU12 Silver/Bronze U12"
"Cascade FC Green B03",338,0.35,0.11,36,"WA","B03","PSPL Classic 1 U11","","Spr PSPL SuperLeague 2 U11","WA Cup BU11 Silver/Bronze U11"
"CSC Storm Navy B03",337,0.27,0.15,32,"OR","B03","PTT-B B03 Championship (9v9)","","Spr OYS B03 Premier White","OYS State Cup B03"
"Pacific FC Real Azul B03",333,0.34,0.11,34,"WA","B03","OPL 1st Div - BLACK U11","","Spr OPL Willamette Div U11",""
"NWN Blue B03",333,0.21,0.19,36,"WA","B03","RCL B03 Div 3","","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 2"
"RSA Elite Hanson B02",332,0.29,0.14,23,"WA","B02","PSPL Copa U12","","Spr PSPL Copa U12","WA Cup BU12 Silver/Bronze U12"
"FC Spokane Black B03",328,0.26,0.15,15,"WA","B03","PSPL-Inl Dev Div 1 U11","","Spr PSPL-Inland Div 1 U11",""
"Boise Nationals Barcelona Gold B03",326,0.31,0.12,18,"ID","B03","Idaho D3 B U11","","Spr Idaho D3 B U11",""
"Blackhills FC Black B03",325,0.27,0.14,35,"WA","B03","RCL B03 Div 3","","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 2"
"4-H FC Joga B03",325,0.41,0.09,17,"OR","B03","","","",""
"Seattle United S Blue B03",323,0.31,0.12,21,"WA","B03","NPSL B11D1","","","Founders Cup B03"
"Storm King B03",320,0.38,0.09,23,"WA","B03","NPSL B11D2","","",""
"Westside Timbers Mundial B03",318,0.4,0.09,36,"OR","B03","PTT-B B03 Championship (9v9)","","Spr OYS B03 Div 1","OYS Presidents Cup B03"
"SSC Shadow Elite B02",318,0.29,0.12,25,"WA","B02","NWL BU12","","Spr NWL BU12",""
"PCU Black B03",317,0.29,0.12,20,"OR","B03","PTT-B B03 Timbers Div 1","","Spr OYS B03 Div 2","OYS Presidents Cup B03"
"Kent City Red B02",316,0.29,0.12,8,"WA","B02","","","Spr PSPL Copa U12",""
"THUSC Carbon B03",316,0.31,0.11,38,"OR","B03","OPL 1st Div - BLACK U11","","Spr OPL Mt Hood Div U11","Directors Cup OPL Gold U11"
"PCU Gray B02",316,0.25,0.14,18,"OR","B02","PTT-B B02 Timbers Div 1","","Spr OYS B02 Div 2 Green","OYS Presidents Cup B02"
"Pacific FC Fire B02",314,0.26,0.13,30,"WA","B02","OPL 2nd Div U12","","Spr OPL Bandon Dunes Div U12",""
"Cobra Othello B03",314,0.39,0.09,14,"WA","B03","PSPL-Inl Dev Div 1 U11","","Spr PSPL-Inland Div 1 U11",""
"Seattle Celtic Orange B01",314,0.24,0.14,20,"WA","B01","PSPL Copa U13","","Spr PSPL Copa U13",""
"Sawtooth United B03",312,0.32,0.11,18,"ID","B03","Idaho D3 B U11","","Spr Idaho D3 B U11",""
"Snohomish United Red B02",310,0.16,0.21,37,"WA","B02","RCL B02 Div 4","","Win RCL B02 Div 4","WYS Presidents Cup B02 Div 2"
"WUSC Manchester United Navy B02",309,0.22,0.15,30,"OR","B02","OPL 2nd Div U12","","Spr OPL Bandon Dunes Div U12","Directors Cup OPL Silver U12"
"RSA Elite B03",309,0.31,0.11,33,"WA","B03","PSPL Classic 1 U11","","Spr PSPL Classic 2 U11","WA Cup BU11 Silver/Bronze U11"
"FC Tacoma Blue B03",308,0.34,0.1,28,"WA","B03","PSPL Classic 1 U11","","Spr PSPL Classic 2 U11",""
"Crossfire Oregon LOSC Black I B03",305,0.31,0.11,38,"OR","B03","OPL 1st Div - BLACK U11","","Spr OPL Willamette Div U11","Directors Cup OPL Silver U11"
"Sabers Speer B03",304,0.36,0.09,18,"WA","B03","PSPL-Inl Dev Div 1 U11","","Spr PSPL-Inland Div 1 U11",""
"Foothills SC Celtic White B03",303,0.28,0.12,23,"OR","B03","OPL 1st Div - BLACK U11","","Spr OPL Willamette Div U11","Directors Cup OPL Gold U11"
"FC Boise Cardinal B02",300,0.35,0.09,19,"ID","B02","Idaho D3 B U12","","Spr Idaho D3 B U12",""
"River Plate SC Tiburones B02",298,0.31,0.1,8,"OR","B02","","","Spr OPL Crater Lake Div U12",""
"FC Portland White B03",297,0.28,0.11,39,"OR","B03","OPL 1st Div - BLACK U11","","Spr OPL Deschutes Div U11","Directors Cup OPL Gold U11"
"NSC Galaxy B03",296,0.27,0.11,24,"WA","B03","NPSL B11D2","","","Founders Cup B03"
"THUSC Beryllium Green B02",294,0.24,0.12,32,"OR","B02","OPL 2nd Div U12","","Spr OPL Bandon Dunes Div U12","Directors Cup OPL Silver U12"
"McCall Avalanche B02",294,0.25,0.12,11,"ID","B02","","","Spr Idaho D3 B U12",""
"CSC Storm White B01",293,0.2,0.15,30,"OR","B01","PTT-B B01 Timbers Div 2","","Spr OYS B01 Div 2",""
"Seattle United NE White B02",292,0.23,0.13,30,"WA","B02","NPSL B12D3","","","Founders Cup B02"
"Mercer Island FC Arsenal B03",292,0.2,0.15,24,"WA","B03","NPSL B11D1","","Spr NPSL B11D1","Founders Cup B03"
"4-H Leones Negros B03",292,0.4,0.07,8,"OR","B03","","","",""
"Emerald City FC White B03",290,0.26,0.11,26,"WA","B03","PSPL Classic 2 U11","","Spr PSPL Classic 2 U11",""
"Southside SC Azul B03",288,0.28,0.1,31,"OR","B03","OPL 1st Div - BLACK U11","","Spr OPL Deschutes Div U11","Directors Cup OPL Gold U11"
"Bend FC Timbers White B03",288,0.28,0.1,23,"OR","B03","PTT-B B03 Timbers Div 1","","Spr OYS B03 Div 2",""
"Spokane Scotties Lake B02",286,0.19,0.15,18,"WA","B02","PSPL-Inland Div 2 U12","","Spr PSPL-Inland Div 2 U12",""
"TUSK Lil Sounders B03",281,0.28,0.1,16,"WA","B03","DIII B12R1","","",""
"SSC Shadow United B02",278,0.26,0.1,24,"WA","B02","NWL BU12","","Spr NWL BU12",""
"Eastside FC Grey B03",278,0.29,0.09,33,"WA","B03","RCL B03 Div 4","","Win RCL B03 Div 3","WYS Presidents Cup B03 Div 3"
"WPFC Fury White B03",277,0.31,0.09,35,"WA","B03","PSPL Classic 2 U11","","Spr PSPL Classic 2 U11","WA Cup BU11 Silver/Bronze U11"
"Seattle Celtic White B03",277,0.28,0.1,38,"WA","B03","PSPL Classic 1 U11","","Spr PSPL Classic 2 U11","WA Cup BU11 Silver/Bronze U11"
"BYSC Select B02",276,0.22,0.12,28,"WA","B02","NPSL B12D3","","Spr NPSL B12D2","Founders Cup B02"
"Crossfire Premier D B02",276,0.18,0.15,44,"WA","B02","RCL B02 Div 4","","Win RCL B02 Div 4","WYS Presidents Cup B02 Div 2"
"ASE Royal B02",276,0.21,0.13,20,"WA","B02","PSPL-Inland Div 2 U12","","Spr PSPL-Inland Div 2 U12",""
"Sawtooth United White B02",275,0.28,0.1,9,"ID","B02","","","Spr Idaho D3 B U12",""
"Breakers White B03",272,0.21,0.13,30,"WA","B03","PSPL-Inl Dev Div 1 U11","","Spr PSPL-Inland Div 1 U11",""
"Spokane Pumas Platinum B02",272,0.27,0.1,21,"WA","B02","PSPL-Inland Div 2 U12","","Spr PSPL-Inland Div 2 U12",""
"NPSA Titans B B02",270,0.22,0.12,24,"WA","B02","PSPL Copa U12","","Spr PSPL Copa U12","WA Cup BU12 Silver/Bronze U12"
"FC Edmonds Velocity B03",269,0.24,0.11,39,"WA","B03","PSPL Classic 2 U11","","Spr PSPL Classic 1 U11","WA Cup BU11 Silver/Bronze U11"
"Emerald City FC White B02",267,0.18,0.14,17,"WA","B02","PSPL Copa U12","","Spr PSPL Copa U12",""
"FC West Red B03",267,0.28,0.09,9,"OR","B03","","","",""
"THUSC Plutonium B02",265,0.19,0.13,12,"OR","B02","OPL 2nd Div U12","","",""
"RVSC Timbers White B02",264,0.22,0.11,9,"OR","B02","","","",""
"Impact FC Black B02",261,0.22,0.11,34,"WA","B02","PSPL Classic 2 U12","","Spr PSPL Copa U12","WA Cup BU12 Silver/Bronze U12"
"CWSA Meteors B03",261,0.29,0.08,8,"","B03","","","",""
"ISC Gunners C B03",259,0.22,0.11,30,"WA","B03","PSPL Copa U11","","Spr PSPL Classic 1 U11",""
"BSC Portland Gold-Tiempo B03",259,0.23,0.1,25,"OR","B03","PTT-B B03 Championship (9v9)","","Spr OYS B03 Div 2","OYS Presidents Cup B03"
"BSC Newberg Vapor B02",257,0.29,0.08,17,"OR","B02","PTT-B B02 Timbers Div 2","","Spr OYS B02 Div 2 White",""
"FC Edmonds Sting B02",256,0.21,0.11,25,"WA","B02","PSPL Classic 1 U12","","Spr PSPL Copa U12",""
"Kitsap Pumas 1 B03",255,0.25,0.09,31,"WA","B03","PSPL Classic 1 U11","","Spr PSPL Classic 1 U11",""
"Foothills SC Celtic White B02",254,0.19,0.12,23,"OR","B02","OPL 1st Div U12","","Spr OPL Bandon Dunes Div U12","Directors Cup OPL Silver U12"
"Oregon City Thunder B03",252,0.23,0.1,37,"OR","B03","OPL 1st Div - BLUE U11","","Spr OPL Willamette Div U11","Directors Cup OPL Silver U11"
"Idaho Thunder B02",252,0.3,0.08,23,"ID","B02","NWL BU12","","Spr NWL BU12",""
"BSC HR Venom B03",249,0.26,0.08,19,"OR","B03","PTT-B B03 Timbers Div 1","","Spr OYS B03 Div 2","OYS Presidents Cup B03"
"Mercer Island FC Strikers B02",248,0.11,0.19,28,"WA","B02","NPSL B12D3","","Spr NPSL B12D2","Founders Cup B02"
"NPSA Titans A B03",242,0.18,0.12,12,"WA","B03","PSPL Copa U11","","",""
"RVSC Timbers White B03",239,0.27,0.08,9,"OR","B03","","","",""
"Desna SC B02",238,0.19,0.11,11,"WA","B02","PSPL Copa U12","","",""
"Real Everett B02",238,0.23,0.09,11,"WA","B02","NPSL B12D3","","",""
"Crossfire Premier C B04",237,0.23,0.09,8,"WA","B04","","","",""
"PCU White B02",236,0.2,0.1,22,"OR","B02","PTT-B B02 Timbers Div 2","","Spr OYS B02 Div 2 White",""
"3 Rivers Green B03",235,0.13,0.16,25,"WA","B03","RCL B03 Div 4","","Win RCL B03 Div 4","WYS Presidents Cup B03 Div 3"
"NEU Barca Black B02",232,0.26,0.07,19,"OR","B02","PTT-B B02 Timbers Div 2","","Spr OYS B02 Div 2 White",""
"Seattle United W White B03",232,0.17,0.11,28,"WA","B03","NPSL B11D2","","Spr NPSL B11D1","Founders Cup B03"
"Eastside FC Grey B02",227,0.16,0.12,37,"WA","B02","RCL B02 Div 4","","Win RCL B02 Div 4","WYS Presidents Cup B02 Div 2"
"Cobra Hooligans B02",226,0.17,0.11,15,"WA","B02","PSPL-Inland Div 2 U12","","Spr PSPL-Inland Div 2 U12",""
"Idaho Rush Grey B03",223,0.16,0.11,21,"ID","B03","Idaho D3 B U11","","Spr Idaho D3 B U11",""
"Jackson Hole United B02",220,0.13,0.14,10,"WY","B02","","","",""
"FC Salmon Creek Blue B02",220,0.14,0.13,34,"WA","B02","OPL 1st Div U12","","Spr OPL Bandon Dunes Div U12","Directors Cup OPL Silver U12"
"Timber Barons B03",219,0.19,0.1,21,"WA","B03","PTT-B B03 Championship (9v9)","","",""
"BIFC White B02",216,0.17,0.1,14,"WA","B02","NPSL B12D3","","",""
"ISC Gunners Select B03",215,0.21,0.08,25,"WA","B03","NPSL B11D3","","Spr NPSL B11D1",""
"Clackamas United B03",213,0.19,0.09,10,"OR","B03","","","",""
"BIFC Blue B03",208,0.27,0.06,19,"WA","B03","NPSL B11D2","","","Founders Cup B03"
"Capital FC Timbers White B02",207,0.24,0.07,23,"OR","B02","PTT-B B02 Timbers Div 2","","Spr OYS B02 Div 2 White",""
"PCU Black B B03",205,0.19,0.09,20,"OR","B03","PTT-B B03 Timbers Div 1","","Spr OYS B03 Div 2","OYS Presidents Cup B03"
"FC West Titans B03",204,0.16,0.1,21,"OR","B03","OPL 1st Div - BLUE U11","","Spr OPL Deschutes Div U11","Directors Cup OPL Silver U11"
"Slammers White B02",203,0.14,0.11,39,"WA","B02","RCL B02 Div 4","","Win RCL B02 Div 4","WYS Presidents Cup B02 Div 2"
"Bellevue SC B03",202,0.18,0.09,8,"WA","B03","","","",""
"SSC Shadow Sande B03",200,0.2,0.08,22,"WA","B03","NWL Group B U11","","Spr NWL Group B U11",""
"ETFC Ajax Red -was White B03",199,0.2,0.08,31,"OR","B03","PTT-B B03 Championship (9v9)","","Spr OYS B03 Div 2","OYS Presidents Cup B03"
"Kajumulo FC Tembo B03",197,0.21,0.07,8,"WA","B03","","","Spr PSPL Copa U11",""
"NSC Revolution B03",196,0.18,0.09,21,"WA","B03","NPSL B11D2","","",""
"ETFC Dortmund Red B02",196,0.12,0.12,24,"OR","B02","PTT-B B02 Timbers Div 1","","Spr OYS B02 Div 2 Green","OYS Presidents Cup B02"
"WPFC Navy B03",195,0.18,0.09,33,"WA","B03","RCL B03 Div 4","","Win RCL B03 Div 4","WYS Presidents Cup B03 Div 3"
"Crossfire Premier D B03",195,0.21,0.07,37,"WA","B03","RCL B03 Div 4","","Win RCL B03 Div 4","WYS Presidents Cup B03 Div 3"
"3 Rivers White B03",193,0.18,0.08,20,"WA","B03","NWL Group B U11","","Spr NWL Group A U11",""
"Newport FC Phantoms B03",187,0.19,0.08,28,"WA","B03","NPSL B11D3","","Spr NPSL B11D2","Founders Cup B03"
"Eagleclaw FA Golden Eagles B02",185,0.1,0.14,18,"WA","B02","PSPL Copa U12","","Spr PSPL Copa U12",""
"Westside Timbers Brazuca B02",184,0.12,0.11,31,"OR","B02","PTT-B B02 Timbers Div 2","","Spr OYS B02 Div 2 White","OYS Presidents Cup B02"
"Lakeland Nighthawks B02",183,0.24,0.06,18,"ID","B02","NWL BU12","","Spr NWL BU12",""
"Washington Timbers Burgundy B03",178,0.17,0.08,27,"WA","B03","PTT-B B03 Timbers Div 1","","","Founders Cup B03"
"3 Rivers Harris B03",176,0.14,0.1,11,"WA","B03","NWL Group C U11","","Spr NWL Group A U11, Spr NWL Group B U11",""
"PCU White B03",176,0.23,0.06,15,"OR","B03","","","",""
"SESC Dragons B03",175,0.13,0.1,16,"OR","B03","","","",""
"Sandpoint Strikers B02",172,0.17,0.08,28,"ID","B02","NWL BU12","","Spr NWL BU12",""
"SSC Shadow -Unk2 B03",172,0.21,0.06,12,"WA","B03","NWL Group B U11","","Spr NWL Group B U11",""
"Emerald City FC Blue B03",171,0.17,0.07,31,"WA","B03","PSPL Copa U11","","Spr PSPL Copa U11","WA Cup BU11 Silver/Bronze U11"
"BSC Portland Vapor B02",171,0.13,0.1,21,"OR","B02","PTT-B B02 Timbers Div 2","","Spr OYS B02 Div 2 White","OYS Presidents Cup B02"
"Idaho Thunder B03",167,0.19,0.07,25,"ID","B03","NWL Group B U11","","Spr NWL Group B U11",""
"VYSA Navy Kirk B03",166,0.14,0.09,14,"ID","B03","NWL Group C U11","","Spr NWL Group C U11",""
"Foothills SC Celtic B03",164,0.14,0.09,11,"OR","B03","","","",""
"FC Portland Blue B03",163,0.19,0.06,8,"OR","B03","","","Spr OPL Umpqua Div U11",""
"Pullman Pumas B03",162,0.16,0.08,18,"WA","B03","NWL Group A U11","","Spr NWL Group A U11",""
"Mercer Island FC Spartans B03",161,0.17,0.07,17,"WA","B03","NPSL B11D3","","Spr NPSL B11D2",""
"South Whidbey Tsunami B03",161,0.19,0.06,15,"WA","B03","NPSL B11D3","","",""
"Normandy Park FC Blue B03",158,0.2,0.06,18,"WA","B03","PSPL Classic 2 U11","","Spr PSPL Copa U11",""
"MVP Rapids White B03",158,0.13,0.09,26,"WA","B03","PSPL Copa U11","","Spr PSPL Copa U11","WA Cup BU11 Silver/Bronze U11"
"Mukilteo Rush B03",156,0.13,0.09,26,"WA","B03","NPSL B11D2","","","Founders Cup B03"
"NK Crew B03",155,0.22,0.05,32,"WA","B03","PSPL Copa U11","","Spr PSPL Classic 3 U11","WA Cup BU11 Silver/Bronze U11"
"Southside SC Blanco B03",155,0.14,0.08,30,"OR","B03","OPL 2nd Div U11","","Spr OPL Deschutes Div U11","Directors Cup OPL Silver U11"
"Harbor Premier White B03",154,0.15,0.07,39,"WA","B03","RCL B03 Div 3","","Win RCL B03 Div 5","WYS Presidents Cup B03 Div 3"
"RVSC Timbers Red B03",154,0.23,0.05,9,"OR","B03","","","",""
"XiFA 2022 B03",154,0.13,0.08,22,"WA","B03","PSPL-Inland Div 1 U12","","Spr PSPL-Inland Div 1 U11",""
"WSA Rapids Red B03",153,0.19,0.06,10,"WA","B03","","","",""
"Sandpoint Strikers B03",152,0.17,0.07,11,"ID","B03","NWL Group A U11","","",""
"CB United B03",152,0.18,0.06,18,"WA","B03","PSPL-Inl Dev Div 2 U11","","Spr PSPL-Inland Div 2 U11","WA Cup BU11 Silver/Bronze U11"
"Sandpoint Strikers B B03",150,0.19,0.06,21,"ID","B03","NWL Group A U11","","Spr NWL Group A U11",""
"Washington Timbers Forest B03",149,0.19,0.06,31,"WA","B03","PTT-B B03 Timbers Div 1","","Spr OYS B03 Div 2","OYS Presidents Cup B03"
"Eastside Timbers White B03",149,0.13,0.08,20,"OR","B03","PTT-B B03 Timbers Div 1","","Spr OYS B03 Div 2","OYS Presidents Cup B03"
"BYSC Select A B03",147,0.18,0.06,22,"WA","B03","NPSL B11D2","","Spr NPSL B11D2","Founders Cup B03"
"PSA Force Black B03",147,0.18,0.06,30,"WA","B03","NPSL B11D3","","Spr PSPL Copa U11",""
"Spokane Pumas Platinum B03",147,0.17,0.07,23,"WA","B03","PSPL-Inl Dev Div 1 U11","","Spr PSPL-Inland Div 2 U11",""
"ASE Nacional B03",146,0.17,0.06,19,"WA","B03","PSPL-Inl Dev Div 1 U11","","Spr PSPL-Inland Div 1 U11","WA Cup BU11 Silver/Bronze U11"
"FC Spokane Black Zettle B03",145,0.19,0.06,12,"WA","B03","PSPL-Inl Dev Div 1 U11","","Spr PSPL-Inland Div 2 U11",""
"Kitsap Pumas 3 B03",143,0.12,0.09,12,"WA","B03","PSPL Copa U11","","",""
"IEYSA Storm B02",140,0.14,0.08,16,"WA","B02","PSPL-Inland Div 2 U12","","Spr PSPL-Inland Div 2 U12",""
"Seattle United NE Blue B03",138,0.17,0.06,27,"WA","B03","NPSL B11D1","","Spr NPSL B11D1","Founders Cup B03"
"Lake Hills Legacy B03",136,0.13,0.08,23,"WA","B03","NPSL B11D2","","","Founders Cup B03"
"Seattle Celtic Orange B03",135,0.17,0.06,20,"WA","B03","PSPL Classic 2 U11","","Spr PSPL Copa U11",""
"CSC Storm White B03",131,0.15,0.06,32,"OR","B03","PTT-B B03 Timbers Div 1","","Spr OYS B03 Div 2","OYS Presidents Cup B03"
"Aloha United Atletico Red B03",127,0.17,0.06,25,"OR","B03","PTT-B B03 Timbers Div 1","","Spr OYS B03 Div 2",""
"Blackhills FC Red B03",126,0.19,0.05,29,"WA","B03","RCL B03 Div 4","","Win RCL B03 Div 5","WYS Presidents Cup B03 Div 3"
"CUSC Red B03",124,0.13,0.07,17,"OR","B03","OPL 1st Div - BLUE U11","","Spr OPL Deschutes Div U11",""
"New Millennium FC Falcons B03",122,0.18,0.05,28,"WA","B03","PSPL Classic 2 U11","","Spr PSPL Copa U11",""
"Seattle United S White B03",121,0.14,0.07,19,"WA","B03","NPSL B11D2","","","Founders Cup B03"
"NEU PDX Silver B03",120,0.17,0.05,27,"OR","B03","OPL 2nd Div U11","","Spr OYS B03 Div 2","Directors Cup OPL Silver U11"
"VYSA Crawford B02",116,0.15,0.06,21,"ID","B02","NWL BU12","","Spr NWL BU12",""
"Seattle United Shoreline White B03",114,0.16,0.05,26,"WA","B03","NPSL B11D3","","Spr NPSL B11D2",""
"Wenatchee Fire White B03",111,0.16,0.05,24,"WA","B03","PSPL-Inl Dev Div 2 U11","","Spr PSPL-Inland Div 1 U11","WA Cup BU11 Silver/Bronze U11"
"Emerald City FC Black B03",111,0.11,0.08,23,"WA","B03","PSPL Copa U11","","Spr PSPL Copa U11","WA Cup BU11 Silver/Bronze U11"
"Redmond Team USA B03",110,0.15,0.06,8,"OR","B03","","","",""
"Kent United Green B03",109,0.16,0.05,27,"WA","B03","NPSL B11D2","","","Founders Cup B03"
"KVJSA Ellensburg FC B03",108,0.16,0.05,16,"WA","B03","PSPL-Inl Dev Div 2 U11","","Spr PSPL-Inland Div 2 U11",""
"BSC Portland Vapor B03",107,0.17,0.05,24,"OR","B03","PTT-B B03 Timbers Div 1","","Spr OYS B03 Div 2","OYS Presidents Cup B03"
"Kent United White B03",105,0.14,0.06,23,"WA","B03","","","Spr PSPL Classic 3 U11","WA Cup BU11 Silver/Bronze U11"
"Breakers Red B02",104,0.14,0.06,22,"WA","B02","PSPL-Inland Div 2 U12","","Spr PSPL-Inland Div 2 U12",""
"Moscow United B03",103,0.13,0.06,20,"ID","B03","NWL Group B U11","","Spr NWL Group B U11, Spr NWL Group C U11",""
"FC Spokane Grey B02",102,0.1,0.08,15,"WA","B02","PSPL-Inland Div 2 U12","","Spr PSPL-Inland Div 2 U12",""
"FC Salmon Creek Juventus Blue B03",102,0.14,0.06,18,"WA","B03","OPL 2nd Div U11","","","Directors Cup OPL Silver U11"
"Impact FC White B01",95,0.05,0.15,12,"WA","B01","PSPL Copa U13","","",""
"Academy Idaho Cads B03",93,0.16,0.05,24,"ID","B03","PSPL-Inl Dev Div 2 U11","","Spr PSPL-Inland Div 1 U11",""
"Real Middleton Athletic Bilbao B02",90,0.09,0.08,8,"ID","B02","Idaho D3 B U12","","",""
"TC United White B03",88,0.11,0.07,32,"WA","B03","DIII B11D1","","Spr PSPL Copa U11","Founders Cup B03"
"WUSC Barcelona Red B03",88,0.14,0.05,26,"OR","B03","OPL 2nd Div U11","","Spr OPL Umpqua Div U11","Directors Cup OPL Silver U11"
"Seattle Celtic Black B03",87,0.13,0.05,20,"WA","B03","PSPL Copa U11","","Spr PSPL Copa U11",""
"Crossfire Select Pratt B03",86,0.14,0.05,22,"WA","B03","NPSL B11D2","","",""
"WA Rush Nero B03",84,0.13,0.05,35,"WA","B03","RCL B03 Div 4","","Win RCL B03 Div 5","WYS Presidents Cup B03 Div 3"
"SCORE Eagles Red B03",83,0.13,0.05,26,"WA","B03","DIII B11D1","","Spr NPSL B11D2","Founders Cup B03"
"Impact FC Black B03",82,0.09,0.07,35,"WA","B03","PSPL Copa U11","","Spr PSPL Classic 3 U11","WA Cup BU11 Silver/Bronze U11"
"Pullman Pumas B02",79,0.13,0.05,21,"WA","B02","NWL BU12","","Spr NWL BU12",""
"Sting SC Celtic B03",76,0.12,0.05,27,"ID","B03","NWL Group B U11","","Spr NWL Group B U11","WA Cup BU11 Silver/Bronze U11"
"Kent City Black B03",76,0.1,0.06,27,"WA","B03","PSPL Copa U11","","Spr PSPL Copa U11",""
"IEYSA Storm B03",68,0.13,0.05,15,"WA","B03","PSPL-Inl Dev Div 1 U11","","Spr PSPL-Inland Div 1 U11",""
"NWSC Islanders B03",65,0.12,0.05,21,"WA","B03","NPSL B11D3","","Spr NPSL B11D2",""
"FC Portland Red B03",61,0.14,0.04,24,"OR","B03","OPL 2nd Div U11","","Spr OPL Umpqua Div U11","Directors Cup OPL Silver U11"
"Pullman Pumas B B03",61,0.12,0.05,18,"WA","B03","NWL Group B U11","","Spr NWL Group C U11",""
"THUSC Arsenic B02",60,0.09,0.06,12,"OR","B02","OPL 2nd Div U12","","",""
"SESC Dragons White B03",59,0.12,0.05,23,"OR","B03","OPL 2nd Div U11","","Spr OPL Umpqua Div U11","Directors Cup OPL Silver U11"
"Kitsap Pumas 2 B03",50,0.14,0.04,31,"WA","B03","PSPL Classic 2 U11","","Spr PSPL Classic 3 U11",""
"CB United Ephrata B03",48,0.12,0.05,16,"WA","B03","PSPL-Inl Dev Div 2 U11","","Spr PSPL-Inland Div 2 U11",""
"THUSC United Redstar B02",45,0.11,0.05,8,"OR","B02","","","",""
"NEU PDX Black B03",43,0.15,0.03,26,"OR","B03","OPL 2nd Div U11","","Spr OYS B03 Div 2",""
"Foothills SC Celtic Green B03",25,0.12,0.04,19,"OR","B03","OPL 2nd Div U11","","Spr OPL Umpqua Div U11",""
"PacNW Gold B03",19,0.09,0.05,37,"WA","B03","RCL B03 Div 4","","Win RCL B03 Div 5","WYS Presidents Cup B03 Div 3"
"Academia Leon B03",17,0.08,0.06,8,"OR","B03","PTT-B B03 Championship (9v9)","","",""
"THUSC Helium B03",17,0.12,0.04,32,"OR","B03","OPL 2nd Div U11","","Spr OPL Umpqua Div U11","Directors Cup OPL Silver U11"
"Snohomish United Red B03",8,0.06,0.07,30,"WA","B03","RCL B03 Div 4","","Win RCL B03 Div 4","WYS Presidents Cup B03 Div 3"
"Seattle Celtic Orange B02",-1,0.03,0.12,16,"WA","B02","PSPL Classic 2 U12","","",""
"FC Tacoma White B02",-3,0.05,0.08,24,"WA","B02","PSPL Copa U12","","Spr PSPL Copa U12",""
"South Kitsap United B03",-5,0.09,0.04,17,"WA","B03","DIII B11D1","","","Founders Cup B03"
"NW United Classic B03",-11,0.09,0.04,23,"WA","B03","PSPL Copa U11","","Spr PSPL Copa U11",""
"SSC Shadow Carder B03",-16,0.11,0.03,18,"WA","B03","NWL Group C U11","","Spr NWL Group C U11",""
"VYSA Kirk B03",-19,0.12,0.03,14,"ID","B03","NWL Group C U11","","Spr NWL Group C U11",""
"Seattle Celtic Black B02",-21,0.07,0.05,16,"WA","B02","PSPL Copa U12","","",""
"Breakers Red B03",-50,0.07,0.04,17,"WA","B03","PSPL-Inl Dev Div 2 U11","","Spr PSPL-Inland Div 2 U11",""
"Seattle Celtic Silver B03",-55,0.12,0.02,12,"WA","B03","PSPL Copa U11","","",""
