"team","total","attack","defense","n.games","region","age","fall.league","win.league","spr.league","other"
"Crossfire Oregon Black East B01",541,0.7,0.24,27,"OR","B01","OPL 2nd Div U13","","Spr OPL Tillamook Div U13","Directors Cup OPL Silver U13"
"Newport FC Supernova B02",541,0.59,0.28,34,"WA","B02","NPSL B12D1","","Spr NPSL B12D1","Founders Cup B02"
"Crossfire Yakima B02",540,0.79,0.21,36,"WA","B02","RCL B02 Div 4, RCL B02 7V2","","Win RCL B02 Div 4","WYS Presidents Cup B02 Div 2"
"Crossfire Oregon Black West B01",539,0.48,0.34,32,"OR","B01","OPL 2nd Div U13","","Spr OPL Tillamook Div U13","Directors Cup OPL Silver U13"
"BSC Portland Black-Legends B03",538,0.49,0.33,29,"OR","B03","PTT B03 Premier","","Spr OYS B03 Premier Green","OYS State Cup B03"
"FC Salmon Creek White B02",534,0.73,0.22,41,"WA","B02","OPL Premier U12","","Spr OYS B02 Div 2 White","WYS Presidents Cup B02 Div 2, Directors Cup OPL Silver U12"
"Capital FC Timbers Black B02",531,0.48,0.33,33,"OR","B02","PTT-B B02 Championship","","Spr OYS B02 Div 1","OYS Presidents Cup B02"
"Eastside Timbers White B02",530,0.53,0.29,32,"OR","B02","PTT-B B02 Timbers Div 1","","Spr OYS B02 Div 2 Green","OYS Presidents Cup B02"
"Fuerza FC Academy B01",529,0.54,0.28,18,"WA","B01","PSPL Copa U13","","",""
"SSC Shadow Elite B00",529,0.32,0.47,15,"WA","B00","NWL BU14","","Spr NWL BU14",""
"FWFC White B01",527,0.32,0.47,35,"WA","B01","RCL B01 Div 4","","Win RCL B01 Div 5","WYS Presidents Cup B01 Div 2"
"Idaho Rush White B02",526,0.52,0.29,22,"ID","B02","Idaho D3 A U12","","Spr Idaho D3 A U12",""
"Capital FC Timbers Red B03",525,0.84,0.18,38,"OR","B03","PTT B03 Premier","","Spr OYS B03 Premier Green","OYS State Cup B03"
"Seattle United Nova B03",524,0.51,0.29,12,"WA","B03","","","Win RCL B03 Div 4","WYS Presidents Cup B03 Div 3"
"Sawtooth United Blue B02",522,0.57,0.26,10,"ID","B02","","","Spr Idaho D3 B U12",""
"SSC Shadow A B03",522,0.67,0.22,27,"WA","B03","NWL Group A U11","","Spr NWL Group A U11",""
"3 Rivers Grey B03",520,0.44,0.33,25,"WA","B03","NWL Group A U11","","Spr NWL Group A U11","WYS Presidents Cup B03 Div 3"
