"team","total","attack","defense","n.games","region","age","fall.league","other"
"North Orange County FC White G01",985,2.21,1.62,33,"CAS","G01","CalS CSL Bronze",""
"WUSC Celtic White G00",984,1.38,2.6,8,"OR","G00","",""
"LA Premier FC Black G01",984,2.22,1.61,38,"CAS","G01","CalS CSL Silver",""
"Carlsbad United FC Gold G01",984,2.36,1.51,32,"CAS","G01","Presidio AA-B",""
"BSC Portland Legends G01",983,1.92,1.85,31,"OR","G01","Thorns Championship",""
"LV Premier Soccer Academy 03 Red G02",981,3,1.17,13,"NV","G02","SSGSL Platinum",""
"Tucson Aztecs G01",981,1.81,1.93,32,"AZ","G01","AZSL 2",""
"Emerald City FC Green G01",980,1.84,1.89,36,"WA","G01","PSPL Classic 2",""
"Intensity (NV) G01",980,2.21,1.57,45,"NV","G01","GBYSL",""
"Wildfire FC G01",979,2.56,1.36,36,"UT","G01","Utah D2",""
"Autobahn SC G01",979,2.09,1.65,30,"CAS","G01","CalS CSL Bronze",""
"Kamloops Blaze Blue 2001G",978,2.61,1.31,9,"BC","2002G","",""
"Merced United FC G01",977,2.42,1.4,27,"CAN","G01","NorCal Silver",""
"Lake Oswego Blue 1 G00",977,1.63,2.08,8,"OR","G00","",""
"Xplosion SC Whittier G01",976,2.38,1.42,25,"CAS","G01","CalS CSL Bronze",""
"Almaden FC Quicksilver Green G01",975,1.51,2.24,45,"CAN","G01","NorCal Gold",""
"Irvine Slammers White - FC Blades Red G01",975,1.98,1.7,40,"CAS","G01","CalSouth DSL2",""
"East Valley FC Black G01",974,1.91,1.75,53,"CAN","G01","NorCal Silver",""
"Clackamas Power Rays G01",974,1.97,1.69,51,"OR","G01","OPL Premier",""
"FC Sporting Pride G01",974,2.1,1.59,47,"CAN","G01","NorCal Gold",""
"Barcelona 02 NorCal G01",973,2.21,1.5,42,"NV","G01","GBYSL",""
"Athletico So Cal Orange G01",973,1.28,2.6,23,"CAS","G01","CalSouth DSL3",""
"Placer United 02 Black G01",972,2.08,1.59,27,"CAN","G01","NorCal Silver",""
"Palm Desert SC G01",971,1.85,1.77,29,"CAS","G01","CalS CSL Bronze",""
"SC Del Sol 02 Evans G01",970,1.15,2.82,23,"AZ","G01","AZSL 1",""
"Westside Timbers Copa G01",970,1.68,1.94,44,"OR","G01","Thorns Championship",""
"Forza FC 02 SOUTH ML II G01",970,1.48,2.19,37,"UT","G01","Utah D1",""
"CDA Sting Whitecaps G01",969,2.35,1.38,38,"ID","G01","PSPL Premier",""
"CVSC Galaxy G01",969,2.05,1.57,23,"CAS","G01","CalS CSL Bronze",""
"Santa Rosa United Waves G01",968,2.03,1.58,51,"CAN","G01","NorCal Gold",""
"Strikers FC MV JC G01",966,1.44,2.2,19,"CAS","G01","CalSouth DSL2",""
"Colorado Storm 02 North White G01",963,1.41,2.19,35,"CO","G01","CO Classic 1",""
"Corvallis United Storm G01",963,2.39,1.29,40,"OR","G01","Thorns Championship",""
"Hollister Tremors Lightning G01",962,2.41,1.28,24,"CAN","G01","CalNorth CCSL Gold",""
"West Valley United White G01",961,1.83,1.67,44,"CAN","G01","NorCal Gold",""
"Central California Aztecs G01",961,1.62,1.89,51,"CAS","G01","CalSouth DSL2",""
"Valley Center Hurricanes G01",961,1.55,1.96,26,"CAS","G01","Presidio SDDA 2",""
"Pacific FC Blue G01",960,1.97,1.54,42,"WA","G01","OPL NPL",""
"Temecula Valley SC Hawks Academy G01",959,1.97,1.53,37,"CAS","G01","CalSouth DSL2",""
"Bozeman Blitzz Blue G01",959,1.94,1.55,36,"MT","G01","MYSA Select",""
"Santa Anita SC Silver G01",959,1.34,2.24,35,"CAS","G01","CalS CSL Silver",""
"Real Henderson Gray G01",958,3.68,0.81,11,"NV","G01","SSGSL Classic",""
"Pacific FC White Ice G01",957,2.25,1.32,38,"WA","G01","Thorns Championship",""
"San Diego Puma UNAM Academy G01",957,2.8,1.06,26,"CAS","G01","Presidio AA-C",""
"Chelsea SC Blue G01",956,1.67,1.77,32,"CAS","G01","CalSouth DSL3",""
"Infinity SC 02 Premier G01",955,1.93,1.52,23,"UT","G01","Utah D2",""
"Central Coast Condors G01",955,2.14,1.37,34,"CAS","G01","CalS CSL Bronze",""
"Davis Legacy White G01",955,1.74,1.68,51,"CAN","G01","NorCal Silver",""
"Eastside 02G G01",954,1.44,2.02,14,"HI","G01","Oahu League Select 2",""
"Whatcom FC Rangers Blue G01",954,1.88,1.54,36,"WA","G01","RCL 4",""
"CFC Lady Bobcats G01",954,1.39,2.08,13,"NM","G01","",""
"Real So Cal Black G01",951,1.67,1.71,32,"CAS","G01","CalSouth DSL2",""
"NEU Barcelona White G01",951,1.98,1.44,35,"OR","G01","OPL Premier",""
"El Dorado Hills Strikers G01",951,2.33,1.22,36,"CAN","G01","NorCal Silver",""
"Manteca Rangers United Red G01",950,1.83,1.54,35,"CAN","G01","CalNorth CCSL Silver Elite",""
"Rampage Black KT G01",949,2.16,1.3,36,"UT","G01","Utah A",""
"North Coast Windsor G02",949,2.05,1.37,9,"CAN","G02","",""
"Crossfire Premier C James G01",949,1.89,1.49,57,"WA","G01","RCL 3",""
"SF Vikings Glens Black G01",948,1.58,1.77,45,"CAN","G01","CalNorth CCSL Silver",""
"Colorado Storm 02 South White G01",948,2.21,1.26,24,"CO","G01","CO Premier 2",""
"Santa Ana FC Pumas G01",947,2.03,1.37,38,"CAS","G01","CalS CSL Bronze",""
"Dixie Dragons G01",947,1.18,2.34,22,"UT","G01","Utah SUSA",""
"Fife Milton Edgewood Fusion G01",947,2.28,1.21,34,"WA","G01","NPSL 2",""
