"team","total","attack","defense","n.games","region","age","fall.league","other"
"Vacaville United SC Thunderbirds G01",852,1.66,0.86,35,"CAN","G01","NorCal Silver",""
"Pikes Peak Rush G01",851,1.56,0.91,20,"CO","G01","CO Classic 4",""
"Mustang Wild G01",851,1.23,1.16,27,"CAN","G01","NorCal Silver",""
"North Area Rush G01",851,1.26,1.12,31,"CO","G01","CO Classic 1",""
"Junior United SA Dynamite G01",849,1.43,0.99,12,"CAS","G01","CalSouth Signature",""
"Colorado United Silver G01",848,1.03,1.35,26,"CO","G01","CO Classic 3",""
"Rocklin FC Rage G01",848,1.46,0.96,51,"CAN","G01","NorCal Silver",""
"Nationals West Blue G01",848,1.34,1.04,31,"ID","G01","IYSA D3-A",""
"Central CA Soccer Alliance White G01",846,1.34,1.03,22,"CAN","G01","NorCal Silver",""
"Riverside United G01",846,1,1.38,9,"CAS","G01","",""
"SF Vikings Tremors White G00",845,1.54,0.89,17,"CAN","G00","CalN CCSL Prep Bronze",""
"FC Tacoma Blue G01",844,1.65,0.82,24,"WA","G01","PSPL Classic 2",""
"West Coast Wave G01",844,1.82,0.75,37,"CAN","G01","NorCal Silver",""
"Denver Kickers Black Rattlers G01",843,1.27,1.06,23,"CO","G01","CO Challenge North",""
"Skyline Select 02 Blue G01",841,1.4,0.95,23,"CO","G01","CO Classic 3",""
"IE Surf Daniel G01",841,0.88,1.51,33,"CAS","G01","CalS CSL Bronze",""
"Temecula Valley SC Hawks Black G01",841,1.37,0.97,36,"CAS","G01","CalSouth DSL3",""
"Colorado Storm South Black G01",840,1.09,1.21,31,"CO","G01","CO Classic 3",""
"Seattle United NE Blue G01",840,1.14,1.16,26,"WA","G01","NPSL 2",""
"Oceanside Breakers Black G01",840,1.47,0.9,23,"CAS","G01","Presidio SDDA 2",""
"APTOS SC Tide G01",839,1.25,1.06,13,"CAN","G01","CalNorth CCSL Silver",""
"Orchard Valley Crush Red G01",839,1.41,0.93,50,"CAN","G01","NorCal Silver",""
"Wenatchee Fire Black G01",839,0.99,1.32,41,"WA","G01","PSPL Classic 1",""
"Ashland SC Fury G00",839,1.45,0.9,10,"OR","G00","SOCL",""
"Casper SC Blades G01",837,1.62,0.8,8,"WY","G01","WY League",""
"CCV Stars 02 Orange G01",837,1.29,1,40,"AZ","G01","AZOL 2",""
"DMS11 G01",836,1.15,1.12,16,"CAS","G01","CalS CSL Bronze",""
"Crescenta Valley SC White G01",836,1.73,0.74,27,"CAS","G01","CalSouth DSL2",""
"Alameda SC Islanders Red G01",835,1.36,0.94,31,"CAN","G01","NorCal Silver",""
"San Marcos YS Revolution G01",835,1.6,0.8,37,"CAS","G01","Presidio AA-B",""
"Scripps Ranch SC White G01",833,0.99,1.27,20,"CAS","G01","Presidio AA-C",""
"Peninsula Odyssey Black G01",832,1.95,0.64,8,"CAN","G01","",""
"Palo Alto 02 Blue G01",832,0.95,1.31,31,"CAN","G01","CalNorth CCSL Gold",""
"Sandpoint Strikers G01",832,1.31,0.95,22,"ID","G01","ID NWL",""
"Colorado Storm 02 Castle Rock White G01",831,1.23,1.01,29,"CO","G01","CO Challenge Metro South",""
"Team USA Fontana FC Black G01",831,1.17,1.06,21,"CAS","G01","CalS CSL Bronze",""
"Livermore Fusion SC Gold G01",830,1.58,0.78,35,"CAN","G01","NorCal Silver",""
"FRAM Soccer Club Brannan G01",829,1.52,0.8,31,"CAS","G01","CalS CSL Bronze",""
"Far West Soccer 02 Red G01",829,1.47,0.83,22,"AZ","G01","AZOL 3",""
"Colorado Rush Cinza Chaos G01",828,1.44,0.84,28,"CO","G01","CO Challenge Metro South",""
"Seattle United West Blue G01",827,0.98,1.23,28,"WA","G01","NPSL 2",""
"AYSO Matrix Bonita Blue G01",826,1.64,0.73,19,"CAS","G01","Presidio AA-A",""
"Broomfield Blast 02 Blue G01",826,1.43,0.84,29,"CO","G01","CO Classic 4",""
"Sagebrush Sparks Freedom G01",826,1.11,1.07,34,"NV","G01","GBYSL",""
"Strikers RB G01",825,1.1,1.08,31,"UT","G01","Utah A",""
"Real Colorado Gold G01",825,1.13,1.05,32,"CO","G01","CO Classic 2",""
"Thurston County United G01",824,1.26,0.93,34,"WA","G01","PSPL Classic 1",""
"Kitsap Alliance FC Black G01",822,0.86,1.36,40,"WA","G01","RCL 4",""
"Natomas United FC Cyclones G01",821,1.23,0.94,36,"CAN","G01","CalNorth CCSL Silver Elite",""
"Canyon Optimist Crossfire Black G01",821,1.41,0.82,28,"ID","G01","IYSA D3-B",""
"FC Edmonds Elite G01",821,1.62,0.71,39,"WA","G01","PSPL Classic 2",""
"FC Sol Black G01",820,0.88,1.3,29,"CAS","G01","Presidio AA-A",""
"AYSO Challenge FC Flames G01",820,0.96,1.19,23,"NM","G01","Duke City League 1",""
"Southside SC Storm G01",819,1.42,0.8,53,"OR","G01","OPL Premier",""
"Atletico United FC White G01",819,1.36,0.84,32,"CAN","G01","NorCal Silver",""
"FC Man United Red G01",817,1.07,1.05,39,"CAS","G01","CalS CSL Bronze",""
"Prospector SC United FC G01",817,1.07,1.05,32,"CAN","G01","CalNorth CCSL Copper",""
"Wasatch SC Thunder SR G01",815,1.41,0.79,28,"UT","G01","Utah A",""
"Lake Oswego SC Thunder G01",814,1.17,0.95,40,"OR","G01","OPL 1st",""
"EBU Bay Oaks Silver Bombers G01",814,1.07,1.03,31,"CAN","G01","NorCal Silver",""
"Electric City SC Royal G01",814,1.26,0.87,22,"MT","G01","MYSA Select",""
"San Diego Fusion White G01",814,0.97,1.13,29,"CAS","G01","Presidio AA-C",""
"Elk Grove United SC Force G01",813,1.29,0.85,41,"CAN","G01","NorCal Silver",""
"Castro Valley United Yellow G01",813,1.14,0.96,41,"CAN","G01","NorCal Silver",""
"RSF Attack Green G01",813,0.76,1.43,24,"CAS","G01","Presidio AA-B",""
"Breakers Andersson G01",812,1.54,0.71,23,"WA","G01","",""
"Utah Avalanche 02 White G01",812,0.94,1.15,29,"UT","G01","Utah A",""
"FC Columbia County Thorns G01",812,0.83,1.3,31,"OR","G01","Thorns Div 2",""
"Elite FC Lightning G01",812,1.83,0.59,24,"UT","G01","Utah A",""
"Seattle United Shoreline Blue G01",810,1.35,0.79,23,"WA","G01","NPSL 2",""
"Barca Cantera Abbott G01",809,1.41,0.76,24,"CAS","G01","Presidio AA-C",""
"Andrenaline G01",809,1.1,0.97,9,"CAS","G01","",""
"Oranje Voetbal Club G01",808,0.95,1.12,34,"CAS","G01","Presidio AA-B",""
"Denver Kickers Strikers G01",808,1.12,0.94,25,"CO","G01","CO Challenge North",""
"Orem City Futbol Club United G01",808,1.23,0.86,21,"UT","G01","Utah D2",""
"Union FC Grey G01",807,0.73,1.45,11,"CAN","G01","",""
"FC Elk Grove Sting G01",807,1.11,0.95,34,"CAN","G01","CalNorth CCSL Bronze",""
"Chaos 02 PR G01",806,1.14,0.92,26,"UT","G01","Utah A",""
"Total Futbol Academy SE LA G01",805,1.01,1.03,51,"CAS","G01","CalS CSL Bronze",""
"SSC Shadow Elite Bellefeuille Cooper G01",802,1.22,0.83,21,"WA","G01","ID NWL",""
"Santa Clara Sparks G01",801,1.15,0.88,38,"CAN","G01","CalNorth CCSL Bronze",""
"Eastside Timbers Leverkusen G01",800,1.13,0.89,40,"OR","G01","Thorns Championship",""
"West Valley United Black G01",800,0.97,1.03,45,"CAN","G01","NorCal Silver",""
"Chugiak Arctic Storm Gold G01",799,1.39,0.71,21,"AK","G01","UAYSL",""
"Far West Soccer 02 Lopez G01",799,1.68,0.59,30,"AZ","G01","AZOL 3",""
"Crown City United Blue G01",798,0.96,1.03,21,"CAS","G01","CalS CSL Bronze",""
"Thelo United FC Green Thorns G01",797,1.08,0.9,47,"OR","G01","OPL Premier",""
"Cal Odyssey SC White G01",794,1.3,0.74,32,"CAN","G01","NorCal Silver",""
"Granite Bay FC Galaxy G01",794,1.3,0.74,18,"CAN","G01","CalNorth CCSL Copper",""
"Wenatchee Fire White G01",794,1.73,0.55,15,"WA","G01","",""
"Helena Arsenal Blue G01",794,1.23,0.78,23,"MT","G01","MYSA Select",""
"Lake Hills Extreme G01",793,1.41,0.68,37,"WA","G01","NPSL 1",""
"LA Premier FC White G01",792,1.07,0.88,27,"CAS","G01","CalS CSL Bronze",""
"Trebol Pride Green G01",792,1.33,0.71,30,"CO","G01","CO Challenge North",""
"Chugiak Flurry 03G Blue G02",792,1.43,0.66,9,"AK","G02","UAYSL",""
"FWFC Blue G01",792,0.76,1.25,43,"WA","G01","RCL 3",""
"Ventura County Fusion YSA G01",791,0.74,1.27,24,"CAS","G01","CalS CSL Bronze",""
"FC Royale Phoenix G01",791,1.25,0.75,26,"CAN","G01","CalN CCSL Prep Bronze",""
"Cap FC 02 United G01",790,1.02,0.91,33,"CAN","G01","NorCal Silver",""
"Strikers FC MV Ladera Ranch KL G01",790,0.88,1.06,22,"CAS","G01","CalSouth DSL3",""
"Basin United Yankees G00",789,0.75,1.24,10,"OR","G00","SOCL",""
"La Mirada Breakers G01",788,1.03,0.9,31,"CAS","G01","CalSouth Signature",""
"Pleasanton Rage White G01",788,1.27,0.73,35,"CAN","G01","NorCal Silver",""
"North State Revolution G01",785,1.13,0.79,43,"CAN","G01","CalNorth CCSL Bronze",""
"Colorado United Red G01",783,0.73,1.21,33,"CO","G01","CO Classic 2",""
"Poway Vaqueros Black G01",782,0.87,1.01,28,"CAS","G01","Presidio AA-C",""
"Impact Black G01",782,0.94,0.94,25,"CAN","G01","NorCal Silver",""
"Hotspurs White G01",782,0.99,0.89,33,"CAS","G01","Presidio AA-B",""
"Shock FC 02 MW G01",782,1.44,0.61,8,"UT","G01","Utah SUSA",""
"SFPAL Jamestown Tigers G00",781,2.06,0.43,10,"CAN","G00","CalN CCSL Prep Bronze",""
"Tucson Soccer Academy 02 Blue G01",781,0.83,1.06,35,"AZ","G01","PCJSL",""
"FC Boulder Athletic G01",780,0.98,0.89,19,"CO","G01","CO Challenge North",""
"Stockton Storm FC Lady Strikers G01",779,0.76,1.14,30,"CAN","G01","CalNorth CCSL Copper",""
"Scottsdale Soccer 02 Blackhawks White G01",779,1.07,0.81,9,"AZ","G01","AZOL4",""
"FC Alliance B G01",779,1.1,0.78,33,"WA","G01","RCL 4",""
"Livermore Fusion SC Black G01",778,0.72,1.19,12,"CAN","G01","NorCal Bronze",""
"Wenatchee Valley Utd G01",777,1.14,0.75,14,"WA","G01","",""
"Colorado Rush Weib G01",777,1.07,0.8,23,"CO","G01","CO Classic 4",""
"Forza FC 02 Gold G01",777,0.89,0.96,39,"UT","G01","Utah A",""
"Titans FC G01",776,1.31,0.65,18,"UT","G01","",""
"SSC Shadow B G01",775,1.15,0.73,27,"WA","G01","RCL 4",""
"Eastside FC Blue G01",775,1.26,0.67,32,"WA","G01","RCL 4",""
"San Carlos United Blitz White G01",774,0.76,1.11,42,"CAN","G01","CalNorth CCSL Bronze",""
"Santa Cruz City SC Jaws Blue G01",774,0.82,1.01,35,"CAN","G01","CalNorth CCSL Silver",""
"Albuquerque United FC 03 Inferno G02",773,1.06,0.78,10,"NM","G02","",""
"Arsenal United Fusion G01",772,1.39,0.59,21,"ID","G01","",""
"RVSC Timbers White G01",772,0.96,0.85,22,"OR","G01","SOCL",""
"Kitsap Pumas G01",771,0.85,0.96,31,"WA","G01","PSPL Classic 2",""
"Scottsdale 02 Blackhawks Prescott Challinor G01",770,0.81,1.01,28,"AZ","G01","AZOL 3",""
"Elite Soccer League Legacy G01",770,1.11,0.73,13,"CAS","G01","CalSouth Signature",""
"Martinez Pleasant Hill FC Riot",769,1.19,0.68,28,"CAN","G01","NorCal Silver",""
"San Ramon 02 Azuri White G01",769,0.92,0.88,35,"CAN","G01","NorCal Silver",""
"Isagenix Striking Tigers G01",769,1.35,0.6,12,"WA","G01","",""
"Real Middleton CF AS Roma G01",768,1.09,0.74,19,"ID","G01","IYSA D3-B",""
"Burlingame SC Hawks G01",768,1.32,0.61,32,"CAN","G01","CalNorth CCSL Silver",""
"McMinnvile YS Blaze G01",767,0.91,0.88,16,"OR","G01","Thorns Div 2",""
"Crusaders FC White G01",764,1.11,0.7,34,"CAS","G01","CalS CSL Bronze",""
"Pacific SC Synergy G01",764,1.19,0.65,16,"CAS","G01","CalS CSL Bronze",""
"SSA Dolphins G01",763,0.96,0.8,27,"CAN","G01","CalNorth CCSL Bronze",""
"En Feugo FC White G01",763,1.18,0.66,19,"WA","G01","PSPL Classic 2",""
"AYSO Challenge FC Dragons G01",762,0.91,0.84,30,"NM","G01","Duke City League 1",""
"Jackson Hole United G01",761,0.8,0.95,21,"WY","G01","",""
"Tahoe Wave FC Tsunami G01",760,1.1,0.69,26,"NV","G01","GBYSL",""
"Vancouver Island Wave 2001G",760,0.72,1.05,22,"BC","2001G","BCSPL",""
"Vegas United 01 G00",759,1.73,0.44,8,"NV","G00","",""
"Chico-Cal SC Thunder G01",758,1,0.75,26,"CAN","G01","CalNorth CCSL Bronze",""
"Solano Synergy G01",758,1.2,0.62,29,"CAN","G01","CalNorth CCSL Copper",""
"MVLA Avalanche Gold G01",758,0.81,0.93,28,"CAN","G01","CalNorth CCSL Copper",""
"Heber Valley Storm Black G01",758,1.18,0.63,29,"UT","G01","Utah A",""
"Oceanside Breakers Blue G01",757,1.11,0.67,19,"CAS","G01","Presidio AA-C",""
"Mt Hamilton Olympians G01",757,1.09,0.68,26,"CAN","G01","CalNorth CCSL Bronze",""
"AYSO 206 Fire & Ice G01",756,1.3,0.57,34,"AZ","G01","PCJSL",""
"Clovis SuperPride G01",755,1.06,0.69,13,"NM","G01","Duke City League 2",""
"Crossfire Yakima G01",754,0.8,0.91,26,"WA","G01","RCL 4",""
"Crush Burton G01",754,1.08,0.67,28,"UT","G01","Utah A",""
"FC Elk Grove Rebels G01",754,1,0.72,42,"CAN","G01","CalNorth CCSL Copper",""
"Fremont YSC MVU GB G01",752,0.67,1.06,19,"CAN","G01","NorCal Bronze",""
"Boise Nationals SC Reign G01",751,0.92,0.77,26,"ID","G01","IYSA D3-A",""
"MI FC Thunder G01",748,0.81,0.86,27,"WA","G01","NPSL 2",""
"Napa Valley 02 Pride Red G01",748,1.29,0.54,41,"CAN","G01","NorCal Silver",""
"Tooele County United CW G01",748,1.61,0.43,26,"UT","G01","Utah A",""
"Piedmont SC Highlanders Green G01",747,0.97,0.72,21,"CAN","G01","NorCal Silver",""
"CVSC Strikers G01",745,1.12,0.61,36,"CAS","G01","CalS CSL Bronze",""
"Mustang Revolution G01",744,0.87,0.78,25,"CAN","G01","NorCal Silver",""
"Mt Hamilton Wildcatz G01",743,0.65,1.03,24,"CAN","G01","CalNorth CCSL Bronze",""
"Pacific FC Black Force G01",743,1.01,0.67,45,"WA","G01","OPL 1st",""
"FC Tacoma Comets White G01",742,0.97,0.69,43,"WA","G01","PSPL Premier",""
"Impact United FC G01",742,1.17,0.57,25,"UT","G01","Utah A",""
"Wenatchee Fire White Stefanko G01",742,1.09,0.61,21,"WA","G01","PSPL Classic 2",""
"Stanford SC 02 Tornadoes G01",741,1.02,0.65,29,"CAN","G01","CalNorth CCSL Silver",""
"SF Vikings Ravens Black G01",740,0.91,0.72,28,"CAN","G01","CalN CCSL Prep Bronze",""
"Seattle Celtics Green G01",739,0.91,0.72,28,"WA","G01","PSPL Classic 1",""
"Rio Rapids SC 02 Eclipse G01",739,1.03,0.64,37,"NM","G01","Duke City League 2",""
"Park City 02 SC G01",739,0.95,0.69,28,"UT","G01","Utah D2",""
"Colorado Hawks Black G01",736,0.78,0.82,27,"CO","G01","CO Classic 4",""
"Gold Country YSL Wildcatz G01",735,1.2,0.53,20,"CAN","G01","CalNorth CCSL Copper",""
"Escondido FC Heat Hernandez G01",734,0.78,0.81,27,"CAS","G01","Presidio AA-B",""
"Vancouver Island Wave 2002G",734,0.83,0.77,21,"BC","2002G","BCSPL",""
"Elite Soccer League Pumas G01",731,0.99,0.63,13,"CAS","G01","CalSouth Signature",""
"Corrales Crossfire G01",731,0.81,0.77,33,"NM","G01","Duke City League 2",""
"Emerald City FC White G01",730,1.04,0.59,24,"WA","G01","PSPL Classic 2",""
"New Mexico Rush Nero G01",730,1.02,0.61,36,"NM","G01","Duke City League 1",""
"Folsom Krushers G01",729,1.01,0.6,22,"CAN","G01","CalNorth CCSL Copper",""
"FC Cal Velocity FC G01",729,1.02,0.6,19,"CAS","G01","CalS CSL Bronze",""
"Arsenal SC AH G01",729,1.02,0.6,35,"UT","G01","Utah A",""
"Elite Soccer League Ladera G01",725,0.95,0.63,14,"CAS","G01","CalSouth Signature",""
"North Valley SC Pumas G01",725,1.15,0.52,19,"AZ","G01","AZOL4",""
"Silver Falls Hurricanes G01",725,1.08,0.55,35,"OR","G01","Thorns Div 1",""
"South Cache Fury G01",724,0.74,0.8,19,"UT","G01","Utah B",""
"Nebo United Manti FC G01",724,1.25,0.47,12,"UT","G01","Utah A",""
"Three Rivers SC District Black G01",723,0.94,0.63,17,"WA","G01","ID NWL",""
"Shooters SC 02 Blue G01",723,0.71,0.83,22,"UT","G01","Utah A",""
"Hurricanes FC G01",721,1.44,0.4,29,"UT","G01","Utah B",""
"FC Mesquite Infernos G01",721,0.86,0.68,22,"NV","G01","Utah SUSA",""
"Idaho Rush Azul G01",721,1.17,0.5,31,"ID","G01","IYSA D3-B",""
"Wheat Ridge Avalanche Gold G01",719,0.99,0.58,24,"CO","G01","CO Classic 4",""
"Joga FC 02 SS G01",719,1.23,0.46,19,"UT","G01","Utah B",""
"Downtown Las Vegas SC Academy G01",718,0.69,0.82,42,"NV","G01","NV Summit",""
"Sparta United 02 CJ G01",717,1.01,0.56,28,"UT","G01","Utah A",""
"Seattle United South Black G01",716,0.98,0.57,15,"WA","G01","NPSL 1",""
"Phoenix Rush 02 Rush G01",716,0.67,0.83,30,"AZ","G01","AZOL 1",""
"Colorado Storm 02 South Yellow G01",715,0.92,0.6,34,"CO","G01","CO Challenge Metro South",""
"PCU White G01",715,1.01,0.55,35,"OR","G01","Thorns Div 2",""
"Santa Rosa South SC Tigers G01",714,0.89,0.62,14,"CAN","G01","NorCal Silver",""
"Tottenham Hotspur East Bay Spurs G01",711,0.6,0.91,22,"CAN","G01","NorCal Bronze",""
"Encinitas Express Soccer Silver G01",710,0.76,0.7,25,"CAS","G01","Presidio AA-C",""
"Benicia Arsenal FC G01",710,0.87,0.61,26,"CAN","G01","NorCal Bronze",""
"ISC Gunners B G01",709,0.67,0.79,37,"WA","G01","PSPL Classic 1",""
"De Anza Force Silver G01",709,1.1,0.48,31,"CAN","G01","NorCal Silver",""
"Sonoma SC Fury G01",708,0.73,0.72,27,"CAN","G01","NorCal Silver",""
"North Whidbey SC G01",707,0.66,0.8,27,"WA","G01","NPSL 2",""
"Walnut Creek Tsunami G01",707,0.95,0.55,25,"CAN","G01","NorCal Bronze",""
"Vail Valley Navy G01",705,0.99,0.52,27,"CO","G01","CO Classic 1",""
"Firebirds FC Black Diamond SC Scherschlict G01",705,0.7,0.73,25,"UT","G01","Utah D1",""
"SF Vikings FC Lions Pride G01",705,0.81,0.64,33,"CAN","G01","CalN CCSL Prep Bronze",""
"WPFC White G01",703,0.78,0.66,29,"WA","G01","RCL 4",""
"Butte United Fusion G01",702,0.85,0.6,28,"CAN","G01","NorCal Silver",""
"Mukilteo Rush Select G01",701,0.89,0.56,28,"WA","G01","NPSL 3",""
"El Camino Real Warriors G01",700,0.76,0.65,21,"CAN","G01","CalNorth CCSL Bronze",""
"Lamorinda United White G01",699,0.68,0.73,33,"CAN","G01","NorCal Silver",""
"BSA Benfica Eagles G01",699,1.03,0.48,32,"AZ","G01","AZOL4",""
"Walnut Creek Rampage G01",699,0.75,0.66,26,"CAN","G01","NorCal Silver",""
"Northern Santa Fe Pride G01",698,0.98,0.51,29,"NM","G01","Duke City League 2",""
"Storm King G01",698,1.16,0.43,14,"WA","G01","NPSL 2",""
"South San Jose Legacy G01",697,0.65,0.75,33,"CAN","G01","CalNorth CCSL Bronze",""
"Orange Junior SC Strike Force G01",696,1.1,0.45,14,"CAS","G01","CalSouth Signature",""
"Santa Anita SC Bronze G01",696,0.78,0.62,26,"CAS","G01","CalS CSL Bronze",""
"Pajaro Valley United G01",695,0.76,0.64,25,"CAN","G01","CalNorth CCSL Silver",""
"Tactical FC G01",694,0.61,0.78,31,"NV","G01","SSGSL Classic",""
"Utah Glory Red G01",694,1.14,0.42,26,"UT","G01","Utah B",""
"SF Seals Blue G00",693,0.92,0.52,17,"CAN","G00","CalN CCSL Prep Bronze",""
"UPSC Blue Starz G01",692,0.89,0.53,23,"WA","G01","D3-1",""
"Almaden FC Quicksilver Black G01",688,0.67,0.69,30,"CAN","G01","CalNorth CCSL Copper",""
"PCU Black G01",687,0.73,0.63,41,"OR","G01","Thorns Div 2",""
"Colorado Hawks Red G01",687,0.87,0.53,28,"CO","G01","CO Challenge Metro South",""
"Capital Valley United Crossfire 02 BlackG01",686,0.89,0.51,21,"CAN","G01","CalNorth CCSL Copper",""
"THUSC Lithium G01",686,0.57,0.8,36,"OR","G01","OPL 1st",""
"Joga FC 02 GP G01",686,0.77,0.59,22,"UT","G01","Utah A",""
"Sereno SC 02 West White G01",685,0.86,0.52,24,"AZ","G01","AZOL4",""
"Utah Valley United Blue G01",684,0.61,0.73,26,"UT","G01","Utah A",""
"Ajax Utah FC 02A G01",684,0.82,0.55,26,"UT","G01","Utah A",""
"Capital SC Strikers G01",682,0.8,0.55,14,"NV","G01","GBYSL",""
"Molalla Youth Orange G01",680,1.17,0.37,13,"OR","G01","Thorns Div 2",""
"Xtreme United G01",679,0.91,0.48,25,"UT","G01","Utah A",""
"Westside Timbers Copa TS G01",679,0.79,0.55,42,"OR","G01","Thorns Div 2",""
"Meridian United FC Purple G01",677,0.82,0.52,21,"ID","G01","IYSA D3-B",""
"Broomfield Blast 02 Black G01",676,0.77,0.55,27,"CO","G01","CO Challenge North",""
"SC Del Sol 02 Gieszl G01",675,0.72,0.59,28,"AZ","G01","AZOL 2",""
"Portneuf Valley SC La Maquina G01",673,0.61,0.69,10,"ID","G01","",""
"San Carlos United Blitz Black G01",670,0.88,0.46,17,"CAN","G01","",""
"NWN Blue G01",670,0.87,0.47,45,"WA","G01","RCL 4",""
"Cypress FC Premier White G01",670,0.53,0.77,31,"CAS","G01","CalSouth DSL3",""
"Empire SC Blue Bombers G01",669,0.95,0.42,29,"CAN","G01","NorCal Silver",""
"FC Salmon Creek Nemesis White G01",668,1.08,0.37,32,"WA","G01","OPL Premier",""
"FC Bayern 02 SR G01",668,0.78,0.51,27,"UT","G01","Utah B",""
"AC Los Banos Terremotos G01",666,0.92,0.43,8,"CAN","G01","",""
"Carlsbad United FC Dev G01",665,0.62,0.63,21,"CAS","G01","Presidio AA-C",""
"Bozeman Blitzz White G01",664,0.58,0.67,9,"MT","G01","",""
"Whatcom FC Rangers White G01",664,0.63,0.62,35,"WA","G01","NPSL 3",""
"Livermore Fusion SC White G01",663,0.64,0.6,11,"CAN","G01","NorCal Copper",""
"Junior United SA OC Tsunami G01",662,0.94,0.41,14,"CAS","G01","CalSouth Signature",""
"Monterey County FC United Red G01",662,0.77,0.5,10,"CAN","G01","CalNorth CCSL Copper",""
"Solano Mustangs G01",662,0.45,0.86,24,"CAN","G01","CalNorth CCSL Copper",""
"Central Marin 02 White Magic G01",662,0.62,0.62,27,"CAN","G01","NorCal Silver",""
"WAFC Cobras G01",661,1.01,0.38,28,"OR","G01","Thorns Div 1",""
"Ballistic Green G01",660,0.78,0.49,18,"ID","G01","",""
"Carson FC Luna Chicks G01",658,0.73,0.51,22,"NV","G01","GBYSL",""
"Central Santa Clara Valley Pride Blue G01",657,0.64,0.58,32,"CAN","G01","CalNorth CCSL Copper",""
"Foothills SC Rangers White G01",657,0.72,0.52,18,"OR","G01","OPL Premier",""
"Real Colorado Platinum G01",657,0.74,0.5,29,"CO","G01","CO Challenge Metro South",""
"FWFC Wolverines G01",653,0.86,0.42,12,"WA","G01","D3-1",""
"Arsenal Colorado White G01",650,0.63,0.56,29,"CO","G01","CO Challenge North",""
"Central California Aztecs Black G01",649,0.58,0.61,32,"CAS","G01","CalSouth DSL3",""
"Crusaders FC Red G01",648,0.41,0.84,18,"CAS","G01","CalS CSL Bronze",""
"Stars United RSGF G01",648,0.68,0.51,28,"UT","G01","Utah A",""
"Kajumulo FC Farasi G01",647,0.73,0.48,12,"WA","G01","",""
"Oregon City Fusion G01",645,0.68,0.5,34,"OR","G01","OPL 1st",""
"Helena Arsenal Gold G01",644,0.71,0.48,8,"MT","G01","MYSA Select",""
"SVSLV Aftershock Red G01",644,0.49,0.7,16,"CAN","G01","CalNorth CCSL Bronze",""
"Rage FC G01",644,0.76,0.45,20,"UT","G01","Utah SUSA",""
"Alameda SC Bellas G01",643,0.8,0.42,18,"NM","G01","Duke City League 2",""
"New Mexico Rush Azul G01",642,0.73,0.46,22,"NM","G01","Duke City League 2",""
"St Vrain FC White G01",641,0.58,0.57,29,"CO","G01","CO Challenge North",""
"Blast SC Magnusson G01",640,0.47,0.7,27,"CAS","G01","Presidio AA-C",""
"Lakeland Nighthawks G01",639,0.67,0.49,13,"ID","G01","ID NWL",""
"Bay Area Girls Unite Revolution G01",636,0.67,0.48,25,"CAN","G01","CalN CCSL Prep Bronze",""
"Black Diamonds G01",633,0.96,0.33,23,"NV","G01","GBYSL",""
"Snohomish Red G01",632,0.77,0.41,34,"WA","G01","RCL 4",""
"South San Jose Strikers White G01",630,0.5,0.61,12,"CAN","G01","CalNorth CCSL Copper",""
"Colorado Rapids Youth 02 White G01",629,0.46,0.67,23,"CO","G01","CO Challenge Metro South",""
"BSC Portland Tiempo G01",629,0.44,0.69,26,"OR","G01","Thorns Div 1",""
"MpVSA Sounders G01",626,0.71,0.43,12,"WA","G01","D3-1",""
"Velocity FC Green G01",625,0.59,0.5,34,"WA","G01","PSPL Classic 2",""
"Canyon del Oro SC 02 Gold G01",625,0.62,0.48,19,"AZ","G01","PCJSL",""
"Ashland SC Ruckus G01",624,0.51,0.58,13,"OR","G01","SOCL",""
"West Valley Vision Gold G01",623,0.73,0.4,12,"CAN","G01","CalNorth CCSL Copper",""
"Sacramento North Lightning G01",622,0.88,0.33,13,"CAN","G01","CalNorth CCSL Copper",""
"FC Spokane Grey Blackburn G01",622,0.75,0.39,22,"WA","G01","",""
"Nationals West White G01",622,0.68,0.43,16,"ID","G01","IYSA D3-B",""
"Utah Valley Elite 02 Blue G01",622,0.76,0.38,28,"UT","G01","Utah A",""
"Morgan Storm CF G01",621,0.81,0.36,22,"UT","G01","Utah A",""
"High Desert Premier Real Madrid RM G01",620,0.71,0.41,12,"CAS","G01","CalS CSL Bronze",""
"ASE Royal G01",619,0.49,0.58,16,"WA","G01","",""
"Magic City White G01",618,0.8,0.35,22,"MT","G01","MYSA Select",""
"Silver Lake SC Blueberries G01",617,0.49,0.57,15,"WA","G01","NPSL 3",""
"RSF Attack White G01",617,0.42,0.68,16,"CAS","G01","Presidio AA-C",""
"Black Hills Rapids White G01",616,0.67,0.42,14,"SD","G01","",""
"Natomas United SC Elite Juniors G01",612,0.57,0.47,22,"CAN","G01","CalNorth CCSL Bronze",""
"CFC White G01",612,0.52,0.53,33,"OR","G01","Thorns Div 1",""
"Real Colorado 02 Edge Eagles G01",612,0.42,0.65,36,"CO","G01","CO Challenge North",""
"Seattle United West White G01",611,0.7,0.38,19,"WA","G01","NPSL 3",""
"St Vrain FC Black G01",610,0.57,0.47,26,"CO","G01","CO Challenge North",""
"Kent United White G01",610,0.57,0.47,39,"WA","G01","NPSL 3",""
"Alpine Strikers AFC White G01",609,0.69,0.39,28,"CAN","G01","CalNorth CCSL Copper",""
"El Dorado Hills Lightning G01",608,0.45,0.59,35,"CAN","G01","NorCal Silver",""
